Date CSpd RSpd
"2002/4/9/12" 6.4 7.6983
"2002/4/9/18" 13.8 8.3522
"2002/4/10/0" 8.2 6.1527
"2002/4/10/6" 11.1 4.5888
"2002/4/10/12" 16.6 8.9890
"2002/4/10/18" 13.4 5.8757
"2002/4/11/0" 8.3 4.7187
"2002/4/11/6" 4.3 4.2763
"2002/4/11/12" 4.0 8.8396
"2002/4/11/18" 5.6 5.2417
"2002/4/12/0" 1.3 2.6395
"2002/4/12/6" 6.0 5.7585
"2002/4/12/12" 6.3 7.5666
"2002/4/12/18" 10.7 3.8191
"2002/4/13/0" 8.9 4.8763
"2002/4/13/6" 12.1 7.5173
"2002/4/13/12" 7.2 6.1070
"2002/4/13/18" 6.5 5.0905
"2002/4/14/0" 11.2 5.4341
"2002/4/14/6" 12.3 10.0738
"2002/4/14/12" 12.3 13.3126
"2002/4/14/18" 9.6 4.2005
"2002/4/15/0" 11.0 8.4569
"2002/4/15/6" 13.9 5.9403
"2002/4/15/12" 12.7 13.0083
"2002/4/15/18" 10.3 8.7696
"2002/4/16/0" 8.3 8.7245
"2002/4/16/6" 9.2 9.8408
"2002/4/17/0" 17.7 15.4034
"2002/4/17/6" 13.8 12.7109
"2002/4/17/12" 10.5 7.7081
"2002/4/17/18" 9.0 6.1977
"2002/4/18/0" 12.7 9.7014
"2002/4/18/6" 18.8 14.3962
"2002/4/18/12" 12.8 7.8501
"2002/4/18/18" 14.0 9.2721
"2002/4/19/0" 12.9 12.7943
"2002/4/19/6" 10.2 8.9648
"2002/4/19/12" 6.3 7.5805
"2002/4/19/18" 5.8 2.9840
"2002/4/20/0" 8.2 6.2180
"2002/4/20/6" 1.8 3.9079
"2002/4/20/12" 1.0 4.3195
"2002/4/20/18" 8.6 5.9164
"2002/4/21/0" 10.4 6.5306
"2002/4/21/6" 6.1 6.6035
"2002/4/21/12" 3.8 5.5578
"2002/4/21/18" 6.2 2.3025
"2002/4/22/0" 4.0 1.7547
"2002/4/22/6" 4.3 4.5995
"2002/4/22/12" 8.3 4.3068
"2002/4/22/18" 10.7 6.9602
"2002/4/23/0" 9.0 8.0001
"2002/4/23/6" 11.2 9.1389
"2002/4/23/12" 8.2 5.8994
"2002/4/23/18" 9.1 3.0466
"2002/4/24/0" 10.9 2.9378
"2002/4/24/6" 17.4 16.3342
"2002/4/24/12" 17.1 15.9138
"2002/4/24/18" 18.3 10.6590
"2002/4/25/0" 20.8 17.9742
"2002/4/25/6" 15.6 10.5689
"2002/4/25/12" 14.2 14.8919
"2002/4/25/18" 13.3 8.6547
"2002/4/26/0" 7.0 5.4794
"2002/4/26/6" 2.5 6.3575
"2002/4/26/12" 4.8 3.5171
"2002/4/26/18" 11.9 8.1627
"2002/4/27/0" 13.6 11.3387
"2002/4/27/6" 14.8 9.9327
"2002/4/27/12" 13.4 7.6059
"2002/4/27/18" 13.7 12.5783
"2002/4/28/0" 13.5 10.9261
"2002/4/28/6" 6.2 6.4961
"2002/4/28/12" 2.5 1.3375
"2002/4/28/18" 8.0 5.6989
"2002/4/29/0" 9.9 7.5653
"2002/4/29/6" 13.1 10.3226
"2002/4/29/12" 12.9 11.0145
"2002/4/29/18" 10.7 8.4445
"2002/4/30/0" 8.1 7.7634
"2002/4/30/6" 3.9 3.3639
"2002/4/30/12" 7.5 9.3982
"2002/4/30/18" 8.3 8.3371
"2002/6/1/0" 8.2 4.5094
"2002/6/1/6" 6.7 4.6036
"2002/6/1/12" 7.9 7.8609
"2002/6/1/18" 5.4 5.5694
"2002/6/2/0" 5.4 5.2914
"2002/6/2/6" 11.3 10.6653
"2002/6/2/12" 14.5 14.0477
"2002/6/2/18" 13.0 10.6827
"2002/6/3/0" 14.9 13.4506
"2002/6/3/6" 11.4 9.6887
"2002/6/3/12" 5.7 6.2816
"2002/6/3/18" 4.9 3.5844
"2002/6/4/0" 3.6 5.4635
"2002/6/4/6" 3.6 1.7269
"2002/6/4/12" 4.5 4.6207
"2002/6/4/18" 12.3 3.3819
"2002/6/5/0" 8.2 8.0824
"2002/6/5/6" 5.3 3.9568
"2002/6/5/12" 1.4 2.3437
"2002/6/5/18" 7.1 2.7004
"2002/6/6/0" 7.4 2.3231
"2002/6/6/6" 12.7 9.1423
"2002/6/6/12" 10.1 11.5115
"2002/6/6/18" 5.3 3.5445
"2002/6/7/0" 3.0 4.7396
"2002/6/7/6" 6.0 4.4118
"2002/6/7/12" 8.5 10.5161
"2002/6/7/18" 8.8 7.6360
"2002/6/8/0" 8.4 10.7580
"2002/6/8/6" 9.5 6.9094
"2002/6/8/12" 9.5 8.8640
"2002/6/8/18" 15.6 10.8835
"2002/6/9/0" 19.4 15.5624
"2002/6/9/6" 17.6 12.4212
"2002/6/9/12" 12.1 12.2781
"2002/6/9/18" 14.0 7.8314
"2002/6/10/0" 13.6 5.5286
"2002/6/10/6" 12.0 8.2206
"2002/6/10/12" 9.1 6.3749
"2002/6/10/18" 12.6 12.3300
"2002/6/11/0" 11.0 13.1161
"2002/6/11/6" 6.2 6.4356
"2002/6/11/12" 4.9 5.2037
"2002/6/11/18" 7.7 3.5419
"2002/6/12/0" 12.0 6.6837
"2002/6/12/6" 3.7 4.0821
"2002/6/12/12" 7.6 4.5378
"2002/6/12/18" 17.0 6.2594
"2002/6/13/0" 10.7 6.5106
"2002/6/13/6" 11.3 11.0695
"2002/6/13/12" 10.9 11.1420
"2002/6/13/18" 11.6 11.8333
"2002/6/14/0" 13.1 16.3386
"2002/6/14/6" 11.0 10.3592
"2002/6/14/12" 8.2 9.0373
"2002/6/14/18" 10.5 4.1608
"2002/6/15/0" 6.1 5.8515
"2002/6/15/6" 5.9 4.0024
"2002/6/15/12" 5.4 3.8991
"2002/6/15/18" 3.9 4.3899
"2002/6/16/0" 6.9 3.6646
"2002/6/16/6" 5.0 3.2670
"2002/6/16/12" 7.2 6.5898
"2002/6/16/18" 6.7 3.1588
"2002/6/17/0" 4.0 1.4974
"2002/6/17/6" 8.7 7.5661
"2002/6/17/12" 7.8 2.0856
"2002/6/17/18" 6.9 4.0834
"2002/6/18/0" 7.7 3.3953
"2002/6/18/6" 9.6 9.2200
"2002/6/18/12" 4.1 5.6227
"2002/6/18/18" 5.3 6.2246
"2002/6/19/0" 2.7 4.5308
"2002/6/19/6" 5.2 5.9602
"2002/6/19/12" 7.9 0.7205
"2002/6/19/18" 5.7 8.9560
"2002/6/20/0" 14.0 12.3111
"2002/6/20/6" 13.8 10.2652
"2002/6/20/12" 8.3 4.1676
"2002/6/20/18" 1.1 2.0869
"2002/6/21/0" 8.3 7.0468
"2002/6/21/6" 10.6 8.6837
"2002/6/21/12" 11.0 8.7360
"2002/6/21/18" 9.6 7.2429
"2002/6/22/0" 10.2 6.7952
"2002/6/22/6" 12.5 9.0616
"2002/6/22/12" 13.8 13.3415
"2002/6/22/18" 6.4 6.1292
"2002/6/23/0" 7.6 5.1456
"2002/6/23/6" 10.7 2.7590
"2002/6/23/12" 9.9 6.4141
"2002/6/23/18" 9.3 2.8307
"2002/6/24/0" 11.0 3.9301
"2002/6/24/6" 8.3 5.2799
"2002/6/24/12" 2.8 2.0081
"2002/6/24/18" 3.5 2.7983
"2002/6/25/0" 4.1 2.3636
"2002/6/25/6" 3.3 3.3714
"2002/6/25/12" 4.4 3.5826
"2002/6/25/18" 0.4 4.4570
"2002/6/26/0" 10.1 11.2218
"2002/6/26/6" 7.8 8.4410
"2002/6/26/12" 4.5 3.6890
"2002/6/26/18" 4.7 1.8014
"2002/6/27/0" 5.5 3.5817
"2002/6/27/6" 4.6 6.2134
"2002/6/27/12" 2.5 5.0994
"2002/6/27/18" 8.9 6.6830
"2002/6/28/0" 9.1 6.8769
"2002/6/28/6" 10.5 10.2044
"2002/6/28/12" 13.6 12.5943
"2002/6/28/18" 15.0 9.2404
"2002/6/29/0" 18.8 12.6972
"2002/6/29/6" 15.4 12.4668
"2002/6/29/12" 13.3 14.9179
"2002/6/29/18" 15.6 11.4320
"2002/6/30/0" 17.2 15.2515
"2002/6/30/6" 18.1 10.0666
"2002/6/30/12" 12.9 8.2267
"2002/6/30/18" 6.8 6.0887
"2002/7/1/0" 2.1 1.7231
"2002/7/1/6" 8.8 9.0261
"2002/7/1/12" 12.7 12.7888
"2002/7/1/18" 10.4 7.1045
"2002/7/2/0" 8.3 8.4028
"2002/7/2/6" 6.4 2.3778
"2002/7/2/12" 6.2 9.7032
"2002/7/2/18" 6.3 2.4366
"2002/7/3/0" 5.1 3.2583
"2002/7/3/6" 5.7 7.1076
"2002/7/3/12" 3.8 6.5478
"2002/7/3/18" 8.8 4.8112
"2002/7/4/0" 9.1 9.5441
"2002/7/4/6" 10.7 10.3082
"2002/7/4/12" 13.6 11.9838
"2002/7/4/18" 17.3 12.1028
"2002/7/5/0" 14.0 13.8088
"2002/7/5/6" 15.9 12.9217
"2002/7/5/12" 13.2 15.6911
"2002/7/5/18" 18.4 12.1236
"2002/7/6/0" 17.5 7.4358
"2002/7/6/6" 9.2 3.8804
"2002/7/6/12" 4.2 1.6106
"2002/7/6/18" 4.2 4.1143
"2002/7/7/0" 7.7 5.4619
"2002/7/7/6" 7.1 8.5441
"2002/7/7/12" 9.6 6.0084
"2002/7/7/18" 8.7 6.1849
"2002/7/8/0" 5.2 3.9096
"2002/7/8/6" 6.9 6.6045
"2002/7/8/12" 7.7 7.2095
"2002/7/8/18" 4.7 2.3135
"2002/7/9/0" 5.9 2.9770
"2002/7/9/6" 8.4 7.4062
"2002/7/9/12" 12.1 5.5351
"2002/7/9/18" 5.1 0.8481
"2002/7/10/0" 5.2 5.6010
"2002/7/10/6" 9.4 7.6602
"2002/7/10/12" 9.8 13.8562
"2002/7/10/18" 15.8 9.2102
"2002/7/11/0" 11.1 12.2039
"2002/7/11/6" 12.4 7.8586
"2002/7/11/12" 8.7 8.0419
"2002/7/11/18" 6.3 4.8876
"2002/7/12/0" 5.1 4.2014
"2002/7/12/6" 5.5 6.1774
"2002/7/12/12" 5.4 5.7288
"2002/7/12/18" 8.6 5.6921
"2002/7/13/0" 5.8 4.4222
"2002/7/13/6" 6.7 7.9049
"2002/7/13/12" 9.6 10.6712
"2002/7/13/18" 7.8 5.0459
"2002/7/14/0" 7.1 4.5208
"2002/7/14/6" 7.6 8.6945
"2002/7/14/12" 9.1 8.2062
"2002/7/14/18" 9.9 6.5217
"2002/7/15/0" 10.6 8.1841
"2002/7/15/6" 13.2 10.6015
"2002/7/15/12" 11.4 12.4963
"2002/7/15/18" 11.5 10.2147
"2002/7/16/0" 12.7 11.2361
"2002/7/16/6" 13.7 10.6966
"2002/7/16/12" 9.8 14.0596
"2002/7/16/18" 7.2 4.3643
"2002/7/17/6" 8.8 5.8322
"2002/7/17/12" 7.4 5.0977
"2002/7/17/18" 10.8 4.7559
"2002/7/18/0" 14.3 5.7494
"2002/7/18/6" 8.9 6.3710
"2002/7/18/12" 11.5 3.6268
"2002/7/18/18" 9.3 0.8632
"2002/7/19/0" 5.0 3.0017
"2002/7/19/6" 6.2 6.1177
"2002/7/19/12" 4.1 4.9949
"2002/7/19/18" 7.4 6.3400
"2002/7/20/0" 8.2 5.6438
"2002/7/20/6" 10.4 8.2332
"2002/7/20/12" 6.1 5.5127
"2002/7/20/18" 4.3 2.6233
"2002/7/21/0" 2.8 5.8664
"2002/7/21/6" 5.0 5.6150
"2002/7/21/12" 8.9 9.7049
"2002/7/21/18" 7.0 8.4154
"2002/7/22/0" 3.0 6.8882
"2002/7/22/6" 10.2 6.5001
"2002/7/22/12" 10.8 8.1836
"2002/7/22/18" 7.1 4.6149
"2002/7/23/0" 5.4 5.8686
"2002/7/23/6" 5.2 7.5504
"2002/7/23/12" 4.2 6.2151
"2002/7/23/18" 9.8 9.2966
"2002/7/24/0" 10.9 9.1943
"2002/7/24/6" 13.9 6.7938
"2002/7/24/12" 9.4 8.8169
"2002/7/24/18" 5.1 4.4977
"2002/7/25/0" 4.2 0.4967
"2002/7/25/6" 9.6 3.3219
"2002/7/25/12" 6.2 3.9671
"2002/7/25/18" 5.2 3.8558
"2002/7/26/0" 4.8 5.6184
"2002/7/26/6" 4.4 5.3100
"2002/7/26/12" 7.8 9.3720
"2002/7/26/18" 9.0 9.2636
"2002/7/27/0" 8.1 6.6463
"2002/7/27/6" 10.2 6.1807
