Calving Daysrec CK AST Urea PCV Inflamat Myopathy Outcome
0 1 1890 367 NA NA NA NA 1
1 1 6380 900 NA NA NA 1 0
1 1 521 193 NA NA NA NA 0
1 1 2670 467 NA NA NA NA 1
0 1 1300 633 NA NA NA NA 1
0 1 11980 800 NA NA NA 1 0
0 7 1497 600 NA NA NA 0 1
0 7 1040 400 NA NA NA 0 1
0 0 553 167 NA NA NA NA 1
0 0 2538 367 NA NA NA NA 0
1 3 5400 1470 NA NA NA 1 0
1 6 3970 390 NA NA NA 0 1
0 1 514 200 NA NA NA NA 1
0 3 8720 410 NA NA NA 0 0
1 1 137 60 NA NA NA NA 0
0 2 5730 203 NA NA NA 0 0
NA 3 10280 1143 NA NA NA 1 0
0 0 208 70 NA NA NA NA 1
1 3 1690 180 NA NA NA 0 0
0 1 976 273 NA NA NA NA 0
1 2 4360 1033 NA NA NA 1 0
0 3 1100 223 NA NA NA 0 0
1 2 13670 400 NA NA NA 1 0
1 1 2990 600 NA NA NA NA 1
1 1 13930 1170 NA NA NA 1 0
0 5 260 267 NA NA NA 0 0
0 5 1150 233 NA NA NA 0 0
0 10 NA 167 NA NA NA NA 0
0 4 781 167 NA NA NA 0 1
1 3 1237 420 NA NA NA 0 1
1 0 78 67 NA NA NA NA 1
1 1 1562 323 NA NA NA NA 1
1 1 78 63 NA NA NA NA 1
1 7 325 183 NA NA NA 0 1
1 0 65 100 NA NA NA NA 1
0 1 846 230 NA NA NA NA 0
0 2 9957 567 NA NA NA 0 0
0 0 260 200 NA NA NA NA 1
1 0 5792 400 NA NA NA NA 0
1 3 6960 317 NA NA NA 0 1
1 4 2930 183 NA NA NA 0 0
0 3 1760 183 NA NA NA 0 0
0 1 1630 240 NA NA NA NA 0
0 14 NA 187 NA NA NA NA 1
1 6 5857 687 NA NA NA 1 0
1 0 247 87 NA NA NA NA 0
1 7 332 93 NA NA NA 0 0
1 1 924 83 NA NA NA NA 1
1 3 1887 273 NA NA NA 0 1
1 1 11975 597 NA NA NA NA 1
0 2 9241 460 NA NA NA 0 1
0 0 104 60 NA NA NA NA 0
1 2 5011 330 NA NA NA 0 0
1 1 885 110 NA NA NA NA 1
0 0 3905 187 NA NA NA NA 0
1 1 3905 213 NA NA NA NA 1
1 4 3060 480 NA NA NA 0 0
1 2 4328 393 NA NA NA 0 1
0 5 1500 310 NA NA NA 0 1
1 0 436 63 NA NA NA NA 1
1 0 560 63 NA NA NA NA 1
1 3 879 367 NA NA NA 0 0
0 3 234 63 NA NA NA 0 1
1 1 3580 223 NA NA NA 0 1
1 9 NA 80 NA NA NA NA 0
1 0 241 143 NA NA NA NA 1
1 1 2200 157 NA NA NA 0 0
1 0 2811 223 NA NA NA NA 1
1 0 950 93 NA NA NA NA 1
0 2 4686 503 NA NA NA 0 0
0 2 14122 897 NA NA NA 1 0
1 5 729 310 NA NA NA 0 0
1 5 1170 240 NA NA NA 0 1
0 8 NA 1430 NA NA NA 1 0
1 0 18160 940 NA NA NA 1 0
0 0 566 123 NA NA NA NA 0
1 20 NA 143 NA NA NA NA 0
1 1 4120 167 NA NA NA NA 0
0 10 NA 1430 NA NA NA 1 0
0 7 3644 493 NA NA NA 1 0
0 7 62997 2533 NA NA NA 1 0
1 0 3059 250 NA NA NA NA 0
1 0 644 107 NA NA NA NA 1
0 0 19264 1033 NA NA NA 1 0
1 1 254 73 NA NA NA NA 1
0 14 NA 897 NA NA NA 1 0
1 1 7094 457 NA NA NA 0 0
1 3 2284 360 NA NA NA 0 0
1 1 605 83 NA NA NA NA 1
1 7 2877 230 NA NA NA 1 0
1 5 885 90 NA NA NA 0 0
0 4 5790 753 NA NA NA 1 0
0 1 267 57 NA NA NA NA 1
0 2 2020 277 NA NA NA 0 0
1 0 160 40 NA NA NA NA 1
1 1 722 103 NA NA NA NA 1
1 5 9371 400 NA NA NA 1 0
1 2 6508 336 NA NA NA 0 0
1 5 3124 376 NA NA NA 0 0
0 1 NA 67 NA NA NA NA 1
1 3 15000 1190 NA NA NA 1 0
0 2 4700 250 NA NA NA 0 1
1 2 7750 387 NA NA NA 0 1
1 0 612 97 NA NA NA NA 1
0 4 12040 433 NA NA NA 1 0
1 10 NA 147 NA NA NA NA 1
1 0 482 60 NA NA NA NA 0
1 1 462 100 NA NA NA NA 1
1 6 1630 423 NA NA NA 0 0
1 1 2020 163 NA NA NA NA 0
1 3 38000 940 NA NA NA 1 0
1 NA 650 237 NA NA NA NA 0
1 0 25380 1109 NA NA NA 1 0
1 2 11650 467 NA NA NA 1 0
1 5 20370 2000 NA NA NA 1 0
1 2 7810 1730 NA NA NA 1 1
1 1 78 113 NA NA NA NA 1
1 NA 364 93 NA NA NA NA 0
1 6 1300 600 NA NA NA 0 0
0 1 5920 140 NA NA NA NA 1
0 1 52 133 NA NA NA NA 0
1 1 26400 630 NA NA NA 1 0
1 3 3337 650 NA NA NA 0 1
1 1 3960 506 NA NA NA NA 0
1 0 2150 253 NA NA NA NA 0
1 7 19720 2160 NA NA NA 1 0
1 2 280 120 NA NA NA 0 1
1 5 24730 1130 NA NA NA 1 0
1 8 NA 290 NA NA NA NA 0
1 2 12500 523 NA NA NA 1 0
0 2 1757 333 NA NA NA 0 0
1 1 5206 383 NA NA NA NA 0
1 2 4600 392 NA NA NA 0 0
1 0 4510 736 NA NA NA 1 0
1 1 1430 719 NA NA NA 1 1
1 4 5792 440 NA NA NA 0 0
1 6 10150 1730 NA NA NA 1 0
1 3 9890 460 NA NA NA 1 0
