	ModernC	Change	PPgdp	Frate	Pop	Fertility	Purban
Fr.Polynesia	NA	1.52	13891	49	244	2.44	53
Gabon	12	1.79	3379	NA	1329	3.99	82
Gambia	7	2.66	300	45	1426	4.7	31
Georgia	20	-0.92	601	58	5126	1.4	57
Germany	72	0.07	22418	49	82476	1.35	88
Ghana	13	2.17	265	NA	20923	4.11	36
Greece	NA	0.14	10727	38	10976	1.27	60
Grenada	NA	-0.26	4682	62	103	NA	38
Guadeloupe	NA	0.84	10323	52	439	2.1	100
Guam	NA	1.54	NA	60	163	2.88	40
Guatemala	31	2.55	1717	23	12347	4.41	40
Guinea	4	1.59	375	NA	8480	5.82	28
Guinea-Bissau	NA	2.95	174	NA	1493	7.1	32
Guyana	NA	0.24	936	39	765	2.31	36
Haiti	22	1.32	431	49	8326	3.98	37
Honduras	51	2.34	960	43	6941	3.72	54
Hungary	68	-0.46	5209	46	9877	1.2	65
Iceland	NA	0.79	27281	79	289	1.95	93
India	43	1.51	467	34	1065462	3.01	28
Indonesia	55	1.26	678	52	219884	2.35	42
Iran	56	1.24	5645	11	68920	2.33	65
Iraq	10	2.68	NA	10	25174	4.77	67
Ireland	NA	1.12	26725	48	3956	1.9	59
Israel	NA	2.02	18816	48	6433	2.7	92
Italy	39	-0.1	18928	36	57423	1.23	67
Jamaica	63	0.92	2990	55	2651	2.36	57
Japan	53	0.14	32540	49	127654	1.32	79
Jordan	38	2.66	1726	13	5473	3.57	79
Kazakhstan	53	-0.36	1441	62	15433	1.95	56
Kenya	32	1.45	367	71	31988	4	34
Kiribati	27	1.41	468	68	77	3.8	39
N.Korea	53	0.54	571	NA	22664	1.41	61
S.Korea	67	0.57	8955	49	47700	2.02	83
Kuwait	41	3.46	16782	43	2521	2.66	96
Kyrgyzstan	49	1.4	306	59	5138	2.64	34
Laos	29	2.29	324	NA	5657	4.78	20
Latvia	39	-0.93	3212	50	2307	1.1	60
Lebanon	37	1.56	5087	NA	3652	2.18	90
Lesotho	19	0.14	419	NA	1801	3.84	29
Liberia	6	4.05	256	NA	3367	6.8	46
Libya	26	1.93	5099	NA	5551	3.02	88
Liechtenstein	NA	NA	34504	NA	NA	1.64	22
Lithuania	40	-0.58	3442	55	3443	1.25	69
Luxembourg	NA	1.32	43041	43	453	1.73	92
Madagascar	10	2.84	278	NA	17404	5.7	30
Malawi	26	2.01	129	76	12105	6.1	15
Malaysia	30	1.93	3748	47	24425	2.9	58
Maldives	NA	2.98	1947	28	318	5.33	28
Mali	5	3	200	NA	13006	7	31
Malta	NA	0.42	9245	30	394	1.77	91
Marshall.Is	18	1.19	1938	30	51	3.68	66
Martinique	NA	0.56	10723	54	393	1.9	95
Mauritania	5	2.98	353	NA	2893	5.79	59
Mauritius	49	0.96	3787	39	1222	1.95	42
Mexico	58	1.45	6150	38	103457	2.5	75
Micronesia	NA	0.81	2215	33	109	3.8	29
Monaco	NA	0.92	21826	NA	32	NA	100
Mongolia	46	1.29	417	55	2594	2.42	57
Morocco	42	1.62	1145	30	30566	2.75	56
Mozambique	5	1.75	196	NA	18863	5.63	33
Myanmar	28	1.28	NA	NA	49485	2.86	28
Namibia	26	1.42	1639	48	1987	4.56	31
Nauru	NA	2.29	2500	NA	NA	NA	100
Nepal	35	2.23	226	49	25165	4.26	12
Netherlands	76	0.5	23785	54	16149	1.72	90
Neth.Antilles	NA	0.83	12149	53	220	2.05	69
New.Caledonia	NA	1.92	15750	50	228	2.45	78
New.Zealand	72	0.77	13185	57	3876	2.01	86
Nicaragua	57	2.43	489	36	5466	3.75	57
Niger	5	3.62	176	22	11972	8	21
Nigeria	9	2.53	435	37	124009	5.42	45
N.Mariana.Is	NA	4.04	NA	76	69	5.11	53
Norway	69	0.43	36445	69	4533	1.8	75
Occ.Palestinian.Terr.	NA	3.57	NA	10	3557	5.57	67
Oman	18	2.93	7421	16	2851	4.96	77
Pakistan	17	2.44	418	16	153578	5.08	33
Palau	NA	2.11	6179	53	17	3	69
Panama	54	1.84	3391	43	3120	2.7	57
Papua.New.Guinea	20	2.22	545	NA	5711	4.09	18
Paraguay	48	2.37	1286	53	5878	3.84	57
Peru	50	1.5	2053	59	27167	2.86	73
Philippines	28	1.79	924	53	79999	3.18	59
Poland	19	-0.08	4657	50	38588	1.26	63
Portugal	33	0.13	10944	54	10062	1.45	66
Puerto.Rico	68	0.52	19083	26	3880	1.89	76
Qatar	32	1.54	30493	28	610	3.22	93
Moldova	50	-0.11	346	43	4267	1.4	41
Reunion	62	1.45	9188	42	757	2.3	72
Romania	30	-0.23	1698	56	22334	1.32	55
Russia	54	-0.57	2139	52	143247	1.14	73
Rwanda	4	2.16	205	85	8387	5.74	6
Saint.Kitts.and.Nevis	37	-0.3	8426	57	46	2.41	34
Saint.Lucia	46	0.78	4994	60	149	2.27	38
St.Vincent/Grenadines	55	0.58	2940	36	120	2.23	56
Samoa	34	0.97	1402	40	178	4.12	22
San.Marino	NA	0.99	18767	57	27	NA	90
Sao.Tome.and.Principe	NA	2.49	312	37	160	3.99	48
Saudi.Arabia	29	2.92	7724	15	24217	4.53	87
Senegal	8	2.39	479	24	10094	4.97	48
Serbia.and.Montenegro.	NA	-0.08	1008	NA	10527	1.65	52
Seychelles	NA	0.88	7850	NA	76	2	65
Sierra.Leone	NA	3.8	164	76	4971	6.5	37
Singapore	73	1.69	20755	56	4252	1.36	100
Slovakia	41	0.08	3767	53	5402	1.28	58
Slovenia	NA	-0.11	9463	51	1984	1.14	49
Solomon.Islands	NA	2.88	760	85	477	4.42	20
Somalia	NA	4.17	110	NA	9891	7.25	28
South.Africa	55	0.59	2550	50	45026	2.61	58
Spain	67	0.21	14234	40	41061	1.15	78
Sri.Lanka	44	0.81	827	37	19065	2.01	23
Sudan	7	2.17	376	29	33610	4.39	37
Suriname	NA	0.8	1965	33	435	2.45	75
Swaziland	17	0.8	1204	28	1078	4.54	27
Sweden	71	0.09	23680	76	8877	1.64	83
Switzerland	78	-0.05	34449	58	7169	1.41	67
Syria	28	2.38	4976	21	17799	3.32	52
Tajikistan	NA	0.86	172	60	6245	3.06	28
Thailand	70	1.01	1858	65	62833	1.93	20
Macedonia	NA	0.51	1723	41	2056	1.9	59
Timor-Leste	NA	4	438	NA	779	3.85	8
Togo	7	2.34	273	NA	4910	5.33	34
Tonga	NA	0.97	1284	42	104	3.71	33
Trinidad.and.Tobago	44	0.34	6817	47	1303	1.55	75
Tunisia	51	1.07	2077	24	9832	2.01	66
Turkey	38	1.42	2136	26	71325	2.43	66
Turkmenistan	53	1.54	1263	62	4867	2.7	45
Tuvalu	NA	1.23	1342	NA	9	NA	53
Uganda	18	3.24	239	NA	25827	7.1	15
Ukraine	38	-0.78	763	51	48523	1.15	68
United.Arab.Emirates	24	1.94	19816	31	2995	2.82	87
United.Kingdom	82	0.31	24186	53	59251	1.6	90
Tanzania	17	1.93	263	NA	36977	5.11	33
USA	71	1.03	34788	60	294043	2.11	77
USVirgin.Islands	NA	0.87	NA	60	111	2.15	47
Uruguay	NA	0.72	5514	47	3415	2.3	92
Uzbekistan	51	1.51	418	61	26093	2.44	37
Vanuatu	15	2.43	1085	79	212	4.13	22
Venezuela	40	1.86	5009	46	25699	2.72	87
Viet.Nam	56	1.35	416	74	81377	2.3	25
Western.Sahara	NA	2.55	NA	NA	308	3.89	96
Yemen	10	3.52	431	2	20010	7.01	25
Zambia	14	1.16	345	NA	10812	5.64	40
Zimbabwe	50	0.49	703	65	12892	3.9	36
