"D" "S" "y" "SPP"
23.0 0.1025400 0 "A"
26.0 0.1025400 0 "A"
25.0 0.1025400 0 "A"
17.0 0.1025400 0 "A"
21.0 0.1025400 0 "A"
15.0 0.1036890 1 "A"
29.0 0.1077690 0 "PB"
6.0 0.1148780 0 "PB"
8.0 0.1156340 0 "PB"
13.0 0.1188870 0 "PB"
7.0 0.1188870 0 "PB"
14.0 0.1188870 0 "PB"
13.0 0.1188870 0 "PB"
15.0 0.1188870 0 "PB"
12.0 0.1188870 0 "PB"
8.0 0.1188870 0 "PB"
10.0 0.1192630 0 "PB"
13.0 0.1192630 0 "PB"
12.0 0.1192630 0 "PB"
13.0 0.1192630 0 "PB"
11.0 0.1200540 1 "PB"
10.0 0.1201490 0 "PB"
10.0 0.1201490 0 "PB"
5.0 0.1205340 0 "PB"
10.0 0.1205340 0 "PB"
12.0 0.1205340 0 "PB"
11.0 0.1205340 0 "PB"
10.0 0.1205340 0 "PB"
30.0 0.1282540 0 "PB"
6.0 0.1305650 0 "PB"
13.0 0.1311080 0 "A"
17.0 0.1311080 0 "A"
14.0 0.1320930 0 "PB"
14.0 0.1320930 0 "PB"
15.0 0.1320930 0 "PB"
12.0 0.1320930 0 "PB"
21.0 0.1372060 0 "PB"
56.0 0.1423500 0 "A"
18.0 0.1423500 0 "PB"
11.0 0.1423500 0 "PB"
6.0 0.1442170 0 "PB"
17.0 0.1444850 0 "A"
14.0 0.1478940 0 "PB"
5.0 0.1527140 0 "PB"
5.0 0.1527140 0 "PB"
24.0 0.1530930 1 "A"
25.0 0.1530930 0 "A"
29.0 0.1530930 1 "A"
22.0 0.1530930 1 "A"
27.0 0.1530930 0 "A"
22.0 0.1530930 1 "A"
19.0 0.1530930 1 "A"
10.0 0.1577740 0 "PB"
9.0 0.1577740 0 "PB"
11.0 0.1645130 0 "PB"
11.0 0.1664520 0 "PB"
21.0 0.1701980 0 "PB"
13.0 0.1701980 0 "PB"
18.0 0.1701980 0 "PB"
28.0 0.1705450 0 "A"
9.0 0.1732360 0 "A"
11.0 0.1732360 0 "PB"
12.0 0.1732360 0 "PB"
14.0 0.1732360 0 "PB"
22.0 0.1737820 0 "A"
10.0 0.1737820 0 "PB"
20.0 0.1765090 0 "A"
21.0 0.1765090 0 "A"
20.0 0.1765090 0 "A"
23.0 0.1765090 0 "A"
22.0 0.1765090 0 "A"
23.0 0.1765090 0 "A"
21.0 0.1765090 0 "A"
11.0 0.1765090 0 "PB"
10.0 0.1765090 0 "PB"
12.0 0.1765090 0 "PB"
23.0 0.1772200 0 "A"
37.0 0.1772200 0 "A"
19.0 0.1772200 0 "PB"
13.0 0.1836320 0 "PB"
17.0 0.1836320 0 "PB"
6.0 0.1845420 0 "PB"
9.0 0.1845420 0 "PB"
13.0 0.1845420 0 "PB"
27.0 0.1845420 0 "PB"
6.0 0.1915210 0 "PB"
8.0 0.1915210 1 "PB"
25.0 0.1922930 0 "PB"
39.0 0.1922930 0 "PB"
10.0 0.1956460 0 "PB"
7.0 0.1956460 0 "PB"
12.0 0.1956460 0 "PB"
15.0 0.1976180 0 "PB"
7.0 0.2018380 0 "PB"
15.0 0.2018380 0 "PB"
15.0 0.2033200 0 "PB"
17.0 0.2033200 0 "PB"
10.0 0.2062430 0 "PB"
5.0 0.2100340 0 "PB"
9.0 0.2104670 0 "PB"
8.0 0.2128010 0 "PB"
11.0 0.2128010 0 "PB"
17.0 0.2139550 0 "PB"
27.0 0.2185600 1 "A"
32.0 0.2185600 1 "A"
21.0 0.2189360 0 "PB"
7.0 0.2195770 0 "PB"
6.0 0.2195770 0 "PB"
32.0 0.2198230 1 "A"
29.0 0.2206920 1 "A"
30.0 0.2206920 1 "A"
30.0 0.2206920 1 "A"
12.0 0.2206920 0 "A"
47.0 0.2207690 1 "A"
30.0 0.2207870 0 "A"
14.0 0.2207870 0 "PB"
16.0 0.2207870 0 "PB"
14.0 0.2235050 0 "PB"
6.0 0.2246390 0 "PB"
7.0 0.2246390 0 "PB"
5.0 0.2246390 0 "PB"
5.0 0.2246390 0 "PB"
8.0 0.2246390 0 "PB"
10.0 0.2247010 0 "A"
8.0 0.2247010 0 "A"
10.0 0.2247010 0 "PB"
6.0 0.2247010 1 "PB"
6.0 0.2247010 0 "PB"
6.0 0.2247010 0 "PB"
34.0 0.2257860 1 "A"
12.0 0.2281300 1 "A"
14.0 0.2306940 0 "PB"
7.0 0.2306940 0 "PB"
6.0 0.2306940 1 "PB"
17.0 0.2336630 0 "PB"
11.0 0.2336630 0 "PB"
5.0 0.2344210 0 "PB"
11.0 0.2350150 0 "PB"
5.0 0.2356690 0 "PB"
9.0 0.2359890 0 "A"
26.0 0.2361680 0 "PB"
14.0 0.2369640 0 "A"
14.0 0.2369640 1 "PB"
15.0 0.2369640 1 "PB"
17.0 0.2391110 0 "PB"
32.0 0.2391110 0 "PB"
21.0 0.2391110 1 "PB"
15.0 0.2397520 0 "PB"
27.0 0.2397520 0 "PB"
14.0 0.2439000 0 "PB"
9.0 0.2439000 0 "PB"
8.0 0.2439000 0 "PB"
8.0 0.2439000 0 "PB"
5.0 0.2519110 0 "PB"
6.0 0.2519110 1 "PB"
8.0 0.2519110 0 "PB"
9.0 0.2519110 1 "PB"
9.0 0.2532900 0 "PB"
22.0 0.2532900 0 "PB"
15.0 0.2534280 0 "PB"
10.0 0.2534280 0 "PB"
10.0 0.2534280 0 "PB"
12.0 0.2534280 0 "PB"
21.0 0.2534280 0 "PB"
12.0 0.2564760 0 "PB"
5.0 0.2564760 0 "PB"
5.0 0.2564760 0 "PB"
10.0 0.2564760 0 "PB"
15.0 0.2567670 0 "PB"
10.0 0.2587770 0 "PB"
14.0 0.2594140 0 "A"
10.0 0.2594140 0 "A"
8.0 0.2594140 0 "PB"
32.0 0.2604640 1 "A"
33.0 0.2604640 1 "A"
12.0 0.2604640 0 "PB"
32.0 0.2637810 1 "A"
32.0 0.2637810 1 "A"
9.0 0.2660830 0 "PB"
13.0 0.2682590 0 "PB"
21.0 0.2682590 1 "PB"
23.0 0.2682590 0 "PB"
5.0 0.2692990 0 "PB"
26.0 0.2710890 1 "A"
29.0 0.2710890 1 "A"
22.5 0.2710890 1 "A"
21.0 0.2710890 1 "A"
25.0 0.2731380 1 "A"
20.0 0.2731380 1 "A"
16.0 0.2731380 1 "A"
11.0 0.2731380 0 "PB"
25.5 0.2735930 0 "PB"
9.0 0.2735930 0 "PB"
17.0 0.2740020 1 "A"
16.0 0.2740020 0 "A"
20.0 0.2740020 1 "A"
17.0 0.2740020 0 "A"
17.0 0.2740020 0 "A"
21.0 0.2740020 0 "A"
7.0 0.2741060 0 "PB"
32.0 0.2754550 0 "A"
22.0 0.2769470 1 "PB"
8.0 0.2796530 0 "PB"
31.0 0.2796530 0 "PB"
16.0 0.2796530 0 "PB"
6.0 0.2834710 0 "PB"
11.0 0.2848140 0 "PB"
32.0 0.2848140 0 "PB"
20.0 0.2878720 0 "A"
31.0 0.2893390 1 "A"
13.0 0.2893390 1 "A"
20.0 0.2893390 1 "A"
8.0 0.2893390 1 "PB"
30.0 0.2901510 1 "A"
18.0 0.2918640 1 "A"
14.0 0.2918640 1 "A"
19.0 0.2918640 1 "A"
17.0 0.2918640 1 "A"
12.0 0.2918640 1 "PB"
10.0 0.2918640 0 "PB"
27.0 0.2936290 0 "A"
31.0 0.2936290 0 "A"
10.0 0.2951530 0 "PB"
18.0 0.3003210 0 "A"
30.0 0.3003210 0 "A"
12.0 0.3003210 0 "PB"
6.0 0.3003210 0 "PB"
25.0 0.3071810 1 "A"
9.0 0.3071810 1 "A"
6.0 0.3071810 0 "PB"
11.0 0.3095380 0 "A"
7.0 0.3095380 0 "A"
9.0 0.3095380 0 "A"
13.0 0.3095380 0 "A"
14.0 0.3095380 0 "A"
8.0 0.3095380 0 "PB"
7.0 0.3133930 0 "PB"
6.0 0.3150730 0 "PB"
17.0 0.3153390 0 "PB"
23.0 0.3153390 0 "PB"
10.0 0.3212580 0 "PB"
17.0 0.3234770 1 "A"
19.0 0.3234770 1 "A"
21.0 0.3234770 1 "A"
25.0 0.3234770 1 "A"
14.0 0.3234770 1 "A"
22.0 0.3294120 0 "A"
16.0 0.3294120 0 "A"
7.0 0.3294120 0 "PB"
10.0 0.3304770 0 "PB"
12.0 0.3304770 0 "PB"
12.0 0.3304770 0 "PB"
9.0 0.3304770 0 "PB"
19.0 0.3306440 1 "A"
5.0 0.3306440 0 "PB"
15.0 0.3324740 0 "A"
7.0 0.3324740 0 "A"
10.0 0.3324740 0 "A"
13.0 0.3324740 0 "A"
11.0 0.3324740 0 "A"
8.0 0.3324740 0 "A"
35.0 0.3334070 1 "A"
16.0 0.3339220 1 "A"
8.0 0.3339220 0 "PB"
5.0 0.3383760 0 "A"
6.0 0.3383760 0 "PB"
13.0 0.3422390 0 "PB"
25.0 0.3429150 1 "A"
15.0 0.3429150 1 "A"
30.0 0.3429150 1 "A"
28.0 0.3429150 1 "A"
30.0 0.3429150 0 "A"
24.0 0.3429150 1 "A"
15.0 0.3429150 1 "A"
10.0 0.3462580 1 "PB"
13.0 0.3462580 1 "PB"
12.0 0.3519040 0 "PB"
32.0 0.3545820 1 "A"
7.0 0.3567870 0 "PB"
28.0 0.3569740 1 "A"
31.0 0.3573800 1 "A"
23.0 0.3573800 1 "A"
29.0 0.3573800 1 "A"
6.0 0.3582910 0 "PB"
12.0 0.3594440 0 "PB"
14.0 0.3596940 0 "PB"
19.0 0.3596940 0 "PB"
13.0 0.3596940 0 "PB"
10.0 0.3603570 0 "PB"
14.0 0.3627570 0 "PB"
13.0 0.3629100 1 "A"
18.0 0.3629100 0 "A"
12.0 0.3629100 0 "A"
9.0 0.3629100 0 "A"
12.0 0.3629100 0 "A"
11.0 0.3629100 0 "A"
10.0 0.3629100 0 "A"
24.0 0.3635740 1 "A"
13.0 0.3673160 1 "A"
9.0 0.3673160 0 "PB"
20.0 0.3673500 0 "PB"
33.0 0.3700800 1 "A"
14.0 0.3782160 0 "PB"
12.0 0.3782160 0 "PB"
6.0 0.3782160 1 "PB"
10.0 0.3803030 0 "PB"
18.0 0.3803030 0 "PB"
7.0 0.3817020 1 "PB"
7.0 0.3817020 1 "PB"
7.0 0.3817020 0 "PB"
14.0 0.3822600 0 "PB"
6.0 0.3828290 0 "A"
32.0 0.3828290 0 "A"
19.0 0.3848900 0 "PB"
19.0 0.3848900 0 "PB"
11.0 0.3848900 0 "PB"
21.0 0.3849800 0 "PB"
15.0 0.3849800 0 "PB"
11.0 0.3868720 0 "A"
19.0 0.3878640 0 "PB"
18.0 0.3880310 1 "A"
22.0 0.3880310 1 "A"
32.0 0.3919970 1 "A"
25.0 0.3919970 1 "A"
11.0 0.3919970 1 "PB"
14.0 0.3919970 0 "PB"
35.0 0.3924870 1 "A"
25.0 0.3924870 1 "A"
31.0 0.3924870 1 "A"
31.0 0.3931570 0 "PB"
7.0 0.3933690 0 "PB"
15.0 0.3938770 1 "A"
18.0 0.3938770 1 "A"
19.0 0.3938770 1 "A"
19.0 0.3938770 1 "A"
14.0 0.3938770 1 "A"
6.0 0.3948980 0 "PB"
8.0 0.3955170 0 "PB"
35.0 0.3986710 1 "A"
14.0 0.3986710 1 "A"
29.0 0.3986710 1 "A"
30.0 0.3986710 1 "A"
18.0 0.3986710 0 "PB"
21.0 0.4001600 1 "A"
20.0 0.4003490 0 "PB"
23.0 0.4003490 0 "PB"
10.0 0.4008670 0 "A"
33.0 0.4021300 1 "A"
54.0 0.4021300 1 "A"
28.0 0.4037940 0 "A"
26.0 0.4037940 0 "A"
25.0 0.4047680 1 "PB"
15.0 0.4049330 0 "A"
12.0 0.4049330 0 "PB"
10.0 0.4049330 0 "PB"
10.0 0.4049330 0 "PB"
8.0 0.4049330 0 "PB"
5.0 0.4049330 1 "PB"
10.5 0.4057130 0 "PB"
9.5 0.4057130 0 "PB"
30.0 0.4059540 1 "A"
24.0 0.4059540 1 "A"
9.0 0.4065810 0 "PB"
16.0 0.4067810 1 "A"
26.0 0.4080820 1 "A"
24.0 0.4080820 1 "A"
22.0 0.4080820 1 "A"
26.0 0.4080820 1 "A"
17.0 0.4087650 0 "PB"
14.5 0.4087650 0 "PB"
20.5 0.4239000 0 "PB"
27.0 0.4239000 0 "PB"
22.0 0.4291140 0 "PB"
15.5 0.4293050 0 "PB"
7.0 0.4313860 0 "PB"
8.0 0.4352120 0 "PB"
13.0 0.4352120 0 "PB"
6.0 0.4380730 0 "PB"
6.0 0.4380730 0 "PB"
14.0 0.4380730 1 "PB"
20.0 0.4380730 1 "PB"
14.0 0.4380730 0 "PB"
22.0 0.4380730 1 "PB"
12.0 0.4380730 1 "PB"
5.0 0.4393440 0 "PB"
26.0 0.4413330 1 "A"
8.0 0.4416350 0 "PB"
9.0 0.4416350 1 "PB"
11.0 0.4435070 0 "PB"
26.0 0.4439800 1 "A"
24.0 0.4439800 1 "A"
19.0 0.4439800 1 "A"
16.0 0.4447470 0 "PB"
10.0 0.4447470 0 "PB"
29.0 0.4459930 0 "PB"
8.0 0.4480480 0 "PB"
14.0 0.4490210 1 "A"
16.0 0.4490210 1 "A"
16.0 0.4490210 1 "A"
17.0 0.4531020 1 "A"
10.0 0.4531020 0 "PB"
10.0 0.4559020 0 "PB"
15.0 0.4574880 1 "A"
21.0 0.4574880 1 "A"
13.0 0.4574880 1 "A"
15.0 0.4574880 1 "A"
19.0 0.4574880 1 "A"
20.0 0.4574880 1 "A"
27.0 0.4574880 1 "A"
20.0 0.4652980 1 "PB"
25.0 0.4652980 1 "PB"
14.0 0.4661550 0 "PB"
6.0 0.4671570 1 "PB"
6.0 0.4671570 0 "PB"
26.0 0.4695940 0 "PB"
11.0 0.4699870 0 "PB"
46.0 0.4706670 1 "A"
40.0 0.4706670 1 "A"
8.0 0.4753460 0 "PB"
7.0 0.4753460 0 "PB"
8.0 0.4753460 0 "PB"
7.0 0.4753460 0 "PB"
8.0 0.4753460 0 "PB"
9.0 0.4753460 0 "PB"
7.0 0.4753460 0 "PB"
5.0 0.4753460 0 "PB"
7.0 0.4753460 0 "PB"
9.0 0.4753460 0 "PB"
5.0 0.4753460 0 "PB"
11.0 0.4753460 0 "PB"
8.0 0.4761060 0 "PB"
10.0 0.4761060 0 "PB"
9.0 0.4761060 0 "PB"
6.0 0.4814440 0 "PB"
5.0 0.4814440 0 "PB"
30.0 0.4828040 0 "PB"
9.0 0.4836640 0 "PB"
16.0 0.4857250 0 "PB"
10.0 0.4879860 0 "PB"
12.0 0.4879860 0 "PB"
13.0 0.4879860 0 "PB"
6.0 0.4879860 0 "PB"
41.0 0.4886230 1 "A"
39.0 0.4886230 1 "A"
16.0 0.4886230 0 "PB"
7.0 0.4954550 0 "PB"
7.0 0.5008870 1 "PB"
5.0 0.5010320 0 "PB"
5.0 0.5010320 0 "PB"
6.0 0.5010320 0 "PB"
10.0 0.5037220 0 "A"
15.0 0.5037220 0 "A"
8.0 0.5037220 0 "PB"
10.0 0.5066570 1 "PB"
13.0 0.5075740 0 "PB"
12.0 0.5075740 0 "PB"
27.0 0.5080170 1 "A"
45.0 0.5086720 1 "A"
49.0 0.5086720 1 "A"
12.0 0.5086720 0 "PB"
13.0 0.5086720 0 "PB"
18.0 0.5086720 1 "PB"
37.0 0.5113760 0 "A"
9.0 0.5122480 0 "PB"
30.0 0.5127130 0 "A"
12.0 0.5149150 0 "PB"
10.0 0.5149150 1 "PB"
12.0 0.5149150 1 "PB"
25.0 0.5158100 1 "A"
14.0 0.5158100 1 "A"
8.0 0.5158100 0 "PB"
22.0 0.5167600 1 "A"
12.0 0.5209450 0 "PB"
25.0 0.5224300 1 "A"
5.0 0.5226570 0 "PB"
10.0 0.5233700 0 "PB"
13.0 0.5233700 1 "PB"
9.0 0.5233700 0 "PB"
15.0 0.5233700 0 "PB"
30.0 0.5326700 1 "A"
31.0 0.5326700 1 "A"
23.0 0.5326700 1 "A"
31.0 0.5330630 1 "A"
24.0 0.5330630 1 "A"
16.0 0.5350410 0 "PB"
35.0 0.5363590 0 "A"
35.0 0.5371420 1 "PB"
36.0 0.5455900 1 "A"
16.0 0.5476080 1 "PB"
18.0 0.5481170 0 "A"
16.0 0.5518950 1 "A"
17.0 0.5518950 1 "A"
25.0 0.5518950 1 "A"
18.0 0.5518950 1 "A"
22.0 0.5518950 1 "A"
20.0 0.5518950 1 "A"
13.0 0.5533820 1 "A"
20.0 0.5533820 1 "A"
21.0 0.5533820 0 "A"
22.0 0.5533820 0 "A"
47.0 0.5584920 0 "A"
39.0 0.5584920 1 "A"
36.0 0.5584920 1 "A"
40.0 0.5584920 1 "A"
28.0 0.5589200 1 "A"
33.0 0.5589200 0 "A"
32.0 0.5589200 0 "A"
11.0 0.5589200 0 "PB"
5.0 0.5606230 0 "A"
36.0 0.5612260 1 "A"
17.0 0.5612260 0 "PB"
16.0 0.5626450 0 "PB"
17.0 0.5626450 1 "PB"
18.0 0.5626450 0 "PB"
14.5 0.5626450 0 "PB"
15.0 0.5626450 0 "PB"
32.0 0.5636950 1 "A"
30.0 0.5636950 0 "A"
31.0 0.5636950 1 "A"
24.0 0.5636950 0 "A"
8.0 0.5636950 0 "PB"
6.0 0.5698190 0 "PB"
9.0 0.5698770 0 "PB"
10.0 0.5698770 0 "PB"
17.0 0.5715100 0 "A"
7.0 0.5715100 0 "PB"
9.0 0.5725180 0 "PB"
46.0 0.5729810 0 "A"
27.0 0.5771410 1 "A"
34.0 0.5771410 1 "A"
28.0 0.5771410 1 "A"
13.0 0.5771410 0 "PB"
15.0 0.5789100 1 "PB"
20.0 0.5789100 1 "PB"
27.0 0.5797110 1 "A"
13.5 0.5797110 1 "PB"
14.0 0.5797870 0 "A"
12.0 0.5811650 0 "PB"
17.0 0.5811650 0 "PB"
7.0 0.5811650 0 "PB"
16.0 0.5874660 0 "PB"
14.0 0.5874660 0 "PB"
10.0 0.5893850 0 "PB"
25.0 0.5958770 0 "A"
18.0 0.5958770 0 "A"
23.0 0.5971390 1 "A"
28.5 0.5971390 1 "A"
31.0 0.6000830 1 "A"
28.0 0.6007400 1 "A"
24.0 0.6007400 0 "A"
10.0 0.6007400 1 "PB"
15.0 0.6024610 0 "PB"
25.0 0.6025450 0 "PB"
17.0 0.6025450 0 "PB"
27.0 0.6025450 0 "PB"
20.0 0.6025450 0 "PB"
5.0 0.6028370 0 "PB"
5.0 0.6028370 0 "PB"
5.0 0.6028370 0 "PB"
20.0 0.6045000 1 "A"
23.0 0.6045000 1 "A"
28.0 0.6045000 1 "A"
19.0 0.6045000 1 "A"
11.0 0.6045000 0 "PB"
34.0 0.6071870 1 "A"
20.0 0.6071870 1 "A"
30.0 0.6071870 1 "A"
37.0 0.6071870 1 "A"
18.0 0.6095950 0 "PB"
12.0 0.6095950 1 "PB"
13.0 0.6095950 1 "PB"
20.0 0.6095950 1 "PB"
30.0 0.6126550 1 "PB"
5.0 0.6129020 0 "PB"
12.0 0.6202770 1 "PB"
36.0 0.6218960 1 "A"
42.0 0.6218960 0 "A"
18.0 0.6225340 1 "A"
32.0 0.6225340 1 "A"
33.0 0.6258330 1 "A"
30.0 0.6258330 0 "A"
14.0 0.6258330 0 "PB"
13.0 0.6258330 0 "PB"
10.0 0.6258330 0 "PB"
30.5 0.6297980 1 "A"
24.0 0.6306290 1 "A"
25.0 0.6306290 1 "A"
25.0 0.6306290 1 "A"
15.0 0.6306290 1 "A"
22.0 0.6306290 1 "A"
22.0 0.6306290 1 "A"
29.0 0.6306290 1 "A"
25.5 0.6306290 1 "A"
21.0 0.6306290 1 "A"
14.0 0.6336240 0 "PB"
30.5 0.6353250 1 "A"
6.0 0.6387970 0 "PB"
18.0 0.6387970 1 "PB"
34.0 0.6387970 1 "PB"
8.0 0.6391880 0 "PB"
22.5 0.6392310 0 "PB"
17.5 0.6392310 0 "PB"
16.0 0.6392310 0 "PB"
27.0 0.6395820 1 "A"
29.0 0.6395820 1 "A"
23.0 0.6395820 1 "A"
24.0 0.6395820 1 "A"
24.0 0.6395820 1 "A"
15.0 0.6395820 1 "PB"
17.0 0.6395820 1 "PB"
30.0 0.6408740 1 "A"
34.0 0.6408740 1 "A"
26.0 0.6413030 0 "PB"
16.0 0.6413390 1 "A"
16.0 0.6505410 1 "PB"
6.0 0.6505410 0 "PB"
7.0 0.6505410 0 "PB"
15.0 0.6505410 1 "PB"
16.0 0.6505410 0 "PB"
13.0 0.6505410 1 "PB"
21.0 0.6519400 1 "A"
26.0 0.6533840 1 "A"
19.0 0.6536890 0 "PB"
12.0 0.6536890 0 "PB"
11.0 0.6536890 0 "PB"
12.0 0.6536890 1 "PB"
14.0 0.6536890 1 "PB"
14.0 0.6537220 0 "PB"
17.0 0.6537220 0 "PB"
12.0 0.6537220 0 "PB"
9.0 0.6559670 1 "PB"
6.0 0.6559670 0 "PB"
24.0 0.6571430 1 "A"
29.0 0.6571430 0 "A"
30.0 0.6571430 0 "A"
10.0 0.6584820 0 "PB"
32.0 0.6601750 1 "A"
16.0 0.6601750 1 "A"
22.0 0.6601750 0 "A"
18.0 0.6601750 1 "A"
24.0 0.6601750 1 "A"
20.0 0.6601750 1 "A"
16.0 0.6601750 1 "A"
24.0 0.6601750 1 "A"
25.0 0.6624890 0 "PB"
13.0 0.6631400 1 "A"
19.0 0.6631400 1 "A"
21.0 0.6631400 1 "A"
22.0 0.6631400 1 "A"
20.0 0.6631400 1 "A"
20.0 0.6640440 1 "A"
24.0 0.6640440 1 "A"
18.0 0.6667230 1 "A"
12.0 0.6693260 1 "A"
30.0 0.6693260 1 "A"
28.0 0.6693260 1 "A"
27.0 0.6693260 1 "A"
26.0 0.6693260 0 "A"
21.0 0.6695790 1 "A"
21.0 0.6695790 1 "A"
14.0 0.6695790 1 "A"
15.0 0.6695790 1 "A"
22.0 0.6695790 1 "A"
23.0 0.6695790 1 "A"
25.0 0.6695790 1 "A"
23.0 0.6695790 1 "A"
15.0 0.6695790 1 "A"
11.0 0.6702230 1 "PB"
14.0 0.6702230 0 "PB"
15.0 0.6702230 1 "PB"
6.0 0.6713540 0 "PB"
8.0 0.6713540 0 "PB"
27.0 0.6723190 1 "A"
13.5 0.6730270 1 "PB"
11.5 0.6730270 1 "PB"
12.0 0.6730270 1 "PB"
17.0 0.6730270 0 "PB"
24.0 0.6764340 1 "A"
20.0 0.6764340 1 "A"
22.0 0.6764340 1 "A"
31.0 0.6764340 1 "A"
17.0 0.6764340 1 "PB"
26.0 0.6764340 1 "PB"
19.0 0.6764340 1 "PB"
32.0 0.6769050 1 "A"
32.0 0.6770280 1 "A"
14.0 0.6820170 0 "PB"
17.0 0.6820170 0 "PB"
14.0 0.6820170 0 "PB"
14.0 0.6831770 1 "A"
32.0 0.6831770 0 "A"
19.0 0.6839910 1 "A"
6.0 0.6841290 0 "PB"
23.0 0.6849280 1 "A"
22.0 0.6849280 1 "A"
22.0 0.6849280 1 "A"
20.0 0.6849280 1 "A"
28.0 0.6855140 1 "PB"
10.0 0.6860500 0 "PB"
16.0 0.6860500 0 "PB"
15.0 0.6894270 1 "A"
9.0 0.6942100 0 "PB"
13.0 0.6955420 1 "A"
20.0 0.6955420 1 "A"
21.0 0.6971660 1 "A"
15.0 0.6971660 1 "A"
9.0 0.7003250 0 "PB"
8.0 0.7010910 0 "PB"
15.0 0.7010910 0 "PB"
9.0 0.7010910 0 "PB"
24.0 0.7064640 0 "PB"
20.5 0.7069800 1 "A"
24.0 0.7069800 0 "PB"
14.0 0.7069800 1 "PB"
13.0 0.7069800 1 "PB"
8.0 0.7126190 0 "PB"
12.0 0.7126190 0 "PB"
19.0 0.7126190 0 "PB"
21.0 0.7160540 1 "A"
31.0 0.7220280 1 "A"
31.0 0.7220280 1 "A"
16.0 0.7265630 0 "PB"
15.0 0.7265630 1 "PB"
35.5 0.7278480 1 "A"
16.0 0.7347330 1 "PB"
19.0 0.7347330 0 "PB"
15.0 0.7347330 0 "PB"
20.0 0.7347330 1 "PB"
20.5 0.7347330 1 "PB"
18.0 0.7347330 1 "PB"
17.0 0.7347330 1 "PB"
22.0 0.7357080 1 "PB"
26.0 0.7357080 1 "PB"
25.0 0.7357080 1 "PB"
16.0 0.7373260 1 "A"
28.0 0.7373260 1 "A"
33.0 0.7373260 1 "A"
25.0 0.7373260 1 "A"
8.0 0.7392920 1 "A"
6.0 0.7392920 1 "A"
12.5 0.7451540 1 "A"
28.5 0.7498060 1 "A"
17.0 0.7515910 0 "A"
7.0 0.7515910 0 "A"
22.5 0.7517130 1 "A"
24.0 0.7517130 1 "A"
25.0 0.7517130 1 "A"
27.0 0.7517130 1 "A"
23.0 0.7517130 1 "A"
23.0 0.7517130 1 "A"
18.0 0.7539120 0 "A"
20.0 0.7539120 0 "A"
