"Date" "CSpd" "Spd1" "Spd2" "Spd3" "Spd4" "Spd1Lag1" "Spd2Lag1" "Spd3Lag1" "Spd4Lag1" "Spd1sin1" "Spd1cos1" "bin1" "Dir1"
"2002/1/17/18" 7.5 4.7395 5.7449 2.1580 5.4565 6.6694 6.7473 7.6412 7.9799 0.0982648 4.738481 14 314.18
"2002/1/18/0" 9.5 7.8583 8.7052 7.5920 9.3356 4.7395 5.7449 2.1580 5.4565 7.5869265 -2.047297 15 328.56
"2002/1/18/6" 5.4 4.9624 4.4230 6.4026 5.7480 7.8583 8.7052 7.5920 9.3356 3.6662682 -3.344232 14 297.62
"2002/1/18/12" 6.1 2.1926 5.9885 3.0466 6.3528 4.9624 4.4230 6.4026 5.7480 -0.1903444 -2.184322 10 223.14
"2002/1/18/18" 8.7 9.2010 8.8601 9.3379 9.4522 2.1926 5.9885 3.0466 6.3528 6.9749331 -6.000726 9 197.06
"2002/1/19/0" 7.3 5.5414 11.3489 9.0198 11.2148 9.2010 8.8601 9.3379 9.4522 -3.7425748 4.086594 10 219.17
"2002/1/19/6" 10.3 9.6968 9.6897 10.9772 9.0981 5.5414 11.3489 9.0198 11.2148 -9.1095699 -3.323201 12 255.69
"2002/1/19/12" 13.2 11.3499 16.3879 10.6861 14.4971 9.6968 9.6897 10.9772 9.0981 7.4204966 8.588158 12 252.04
"2002/1/19/18" 13.8 12.0974 9.3497 13.4174 9.8711 11.3499 16.3879 10.6861 14.4971 3.7253279 11.509519 13 270.49
"2002/1/20/0" 5.2 2.2668 3.9347 6.4899 8.9051 12.0974 9.3497 13.4174 9.8711 -1.1699652 -1.941536 14 311.56
"2002/1/20/6" 9.7 4.9634 8.3785 3.1372 7.8310 2.2668 3.9347 6.4899 8.9051 -3.6170191 -3.398899 10 205.02
"2002/1/20/12" 7.2 7.7435 0.7988 10.7249 8.0907 4.9634 8.3785 3.1372 7.8310 7.2966141 2.592531 12 258.84
"2002/1/20/18" 8.0 6.9884 3.0404 3.5419 3.8092 7.7435 0.7988 10.7249 8.0907 1.3436671 6.858009 13 289.22
"2002/1/21/0" 5.3 5.3076 5.3835 8.0634 2.1569 6.9884 3.0404 3.5419 3.8092 0.1515690 -5.305435 13 273.29
"2002/1/21/6" 9.0 7.5679 6.8760 5.8674 2.5451 5.3076 5.3835 8.0634 2.1569 -1.6588881 -7.383847 12 254.69
"2002/1/21/12" 11.0 10.1576 8.5875 8.8974 9.5224 7.5679 6.8760 5.8674 2.5451 9.8452017 2.499768 11 233.80
"2002/1/21/18" 11.0 13.7039 5.4111 11.2871 5.1508 10.1576 8.5875 8.8974 9.5224 -11.5593612 7.360574 12 262.89
"2002/1/22/0" 7.0 10.2847 5.1220 10.7767 4.2509 13.7039 5.4111 11.2871 5.1508 -7.0418469 -7.495829 12 248.94
"2002/1/22/6" 11.9 7.6300 4.9056 8.4111 0.8957 10.2847 5.1220 10.7767 4.2509 3.3741237 6.843405 9 201.52
"2002/1/22/12" 9.7 10.9825 11.8871 11.5647 11.3076 7.6300 4.9056 8.4111 0.8957 -5.4407801 9.540085 10 213.11
"2002/1/22/18" 7.8 8.7266 5.7572 5.5417 6.9467 10.9825 11.8871 11.5647 11.3076 -7.2304787 4.886075 13 288.05
"2002/1/23/0" 6.9 12.7467 6.2996 10.9456 8.5040 8.7266 5.7572 5.5417 6.9467 10.7806862 6.801115 16 340.30
"2002/1/23/6" 6.6 8.0597 6.4134 10.7562 8.1429 12.7467 6.2996 10.9456 8.5040 6.7559441 -4.394995 15 322.59
"2002/1/23/12" 7.7 5.8810 5.4565 8.2454 4.8124 8.0597 6.4134 10.7562 8.1429 1.3813873 5.716461 14 301.83
"2002/1/23/18" 3.4 2.1562 3.7943 4.2549 5.9458 5.8810 5.4565 8.2454 4.8124 -1.8507318 1.106341 16 338.26
"2002/1/24/0" 6.1 4.2010 4.4102 2.5051 2.5461 2.1562 3.7943 4.2549 5.9458 -3.7748513 -1.843610 10 205.32
"2002/1/24/6" 9.2 10.8945 6.0939 9.3451 5.9771 4.2010 4.4102 2.5051 2.5461 9.4788951 5.370352 11 227.25
"2002/1/24/12" 12.6 14.3881 8.5356 13.0357 6.3093 10.8945 6.0939 9.3451 5.9771 -3.8901879 13.852215 12 263.62
"2002/1/24/18" 16.1 14.2931 9.7079 12.1174 4.8703 14.3881 8.5356 13.0357 6.3093 -12.6495939 6.654358 13 287.94
"2002/1/25/0" 11.9 8.1352 8.5994 10.7843 6.9432 14.2931 9.7079 12.1174 4.8703 3.6568565 7.266972 12 264.36
"2002/1/25/6" 15.7 15.8288 8.8974 15.1464 5.3449 8.1352 8.5994 10.7843 6.9432 -15.1832895 4.474218 11 243.76
"2002/1/25/12" 13.1 14.8900 14.8101 16.0022 8.1051 15.8288 8.8974 15.1464 5.3449 6.6991149 13.297893 13 283.21
"2002/1/25/18" 10.2 9.9170 7.9900 10.5259 7.6914 14.8900 14.8101 16.0022 8.1051 -8.0723776 -5.760522 12 255.42
"2002/1/26/0" 4.3 3.5504 3.7065 5.9738 6.1266 9.9170 7.9900 10.5259 7.6914 1.5192874 -3.208910 12 260.31
"2002/1/26/6" 7.5 3.9581 10.2922 2.4754 11.9667 3.5504 3.7065 5.9738 6.1266 2.9082969 2.684840 11 227.02
"2002/1/26/12" 4.8 12.4998 3.8486 7.3963 4.9699 3.9581 10.2922 2.4754 11.9667 -2.0773854 12.325967 13 270.01
"2002/1/26/18" 4.4 3.0049 6.3539 3.7003 7.2213 12.4998 3.8486 7.3963 4.9699 1.1004207 -2.796158 13 285.51
"2002/1/27/0" 8.2 2.2797 5.2568 1.6264 5.1706 3.0049 6.3539 3.7003 7.2213 -1.3583720 -1.830808 7 142.01
"2002/1/27/6" 7.0 4.4027 8.3449 2.8906 8.9192 2.2797 5.2568 1.6264 5.1706 2.4070278 3.686460 16 358.72
"2002/1/27/12" 6.3 3.2324 6.6548 2.6276 6.3438 4.4027 8.3449 2.8906 8.9192 0.5505238 -3.185174 1 21.82
"2002/1/27/18" 8.5 8.8961 8.6343 9.4140 9.5912 3.2324 6.6548 2.6276 6.3438 -2.1869397 8.623102 16 351.61
"2002/1/28/0" 10.3 10.1121 8.1006 10.2330 7.3540 8.8961 8.6343 9.4140 9.5912 -3.8293206 9.358999 16 351.47
"2002/1/28/6" 7.4 6.0038 6.7933 8.7816 6.3152 10.1121 8.1006 10.2330 7.3540 -1.1502060 -5.892592 15 330.06
"2002/1/28/12" 9.4 8.9022 5.0106 9.8768 6.9794 6.0038 6.7933 8.7816 6.3152 8.3855644 2.988557 16 359.37
"2002/1/28/18" 6.6 5.7098 6.5028 8.1776 8.4923 8.9022 5.0106 9.8768 6.9794 0.4653610 -5.690804 1 3.06
"2002/1/29/0" 10.0 9.1971 3.9019 10.2495 8.1628 5.7098 6.5028 8.1776 8.4923 -3.6563594 -8.439057 1 22.40
"2002/1/29/6" 5.7 4.7037 2.6197 7.5041 7.1722 9.1971 3.9019 10.2495 8.1628 0.1410898 4.701583 1 0.03
"2002/1/29/12" 5.8 5.1210 1.4758 7.3528 2.2048 4.7037 2.6197 7.5041 7.1722 -0.7975145 5.058519 1 12.41
"2002/1/29/18" 2.1 5.3808 1.7456 4.4735 2.5305 5.1210 1.4758 7.3528 2.2048 -2.4153384 -4.808238 14 305.20
"2002/1/30/0" 4.2 3.2446 3.7568 2.8307 3.3202 5.3808 1.7456 4.4735 2.5305 2.7553467 -1.713328 14 303.72
"2002/1/30/6" 6.1 8.0270 6.1970 6.0740 3.9815 3.2446 3.7568 2.8307 3.3202 6.6061703 4.559742 13 283.71
"2002/1/30/12" 4.6 5.4111 5.4081 4.7514 6.1117 8.0270 6.1970 6.0740 3.9815 3.4834525 4.140720 12 258.31
"2002/1/31/0" 6.7 1.5631 3.3557 2.0565 3.6014 5.4111 5.4081 4.7514 6.1117 -1.1376313 1.071950 10 206.53
"2002/1/31/6" 7.6 6.4006 5.2324 5.5286 4.3981 1.5631 3.3557 2.0565 3.6014 -2.6820269 5.811576 9 181.78
"2002/1/31/12" 2.2 5.4079 7.5983 3.0081 5.5127 6.4006 5.2324 5.5286 4.3981 4.4536297 3.067664 9 183.18
"2002/1/31/18" 4.6 3.1232 1.8359 2.7032 2.4428 5.4079 7.5983 3.0081 5.5127 2.9751589 -0.950162 7 140.11
"2002/2/1/0" 3.3 1.7456 2.1429 2.3778 4.2177 3.1232 1.8359 2.7032 2.4428 1.0333731 -1.406862 10 203.57
"2002/2/1/6" 5.8 3.5089 1.0837 1.6386 3.4403 1.7456 2.1429 2.3778 4.2177 -3.3589672 1.014750 12 250.05
"2002/2/1/12" 3.7 5.5103 1.4737 1.2978 0.7304 3.5089 1.0837 1.6386 3.4403 -4.1450098 -3.630744 13 274.17
"2002/2/1/18" 6.8 4.7686 3.9973 3.2530 2.1254 5.5103 1.4737 1.2978 0.7304 -2.7641242 3.885764 10 213.01
"2002/2/2/0" 8.4 4.6667 7.0188 5.2452 4.8040 4.7686 3.9973 3.2530 2.1254 -0.9130462 -4.576509 10 223.25
"2002/2/2/6" 10.4 9.5266 4.9080 10.4745 8.0604 4.6667 7.0188 5.2452 4.8040 0.6913499 -9.501481 11 241.83
"2002/2/2/12" 9.2 7.2174 10.0861 6.4170 5.5533 9.5266 4.9080 10.4745 8.0604 -4.8820136 5.315713 14 300.85
"2002/2/2/18" 11.9 11.9274 8.7232 10.7332 7.5816 7.2174 10.0861 6.4170 5.5533 -0.3042660 -11.923518 14 304.76
"2002/2/3/0" 9.7 6.7603 8.4993 8.8472 8.5618 11.9274 8.7232 10.7332 7.5816 -4.8434055 -4.716257 14 299.25
"2002/2/3/12" 10.7 11.6778 8.4114 9.4420 9.6769 6.7603 8.4993 8.8472 8.5618 -5.9602095 10.042256 15 326.19
"2002/2/3/18" 6.9 2.3004 1.9429 8.4173 6.7782 11.6778 8.4114 9.4420 9.6769 0.1379412 2.296261 1 0.06
"2002/2/4/0" 3.9 3.0057 0.2242 8.0446 5.7254 2.3004 1.9429 8.4173 6.7782 -2.9598607 0.522931 2 30.02
"2002/2/4/6" 5.5 6.1977 8.6086 1.1188 3.4006 3.0057 0.2242 8.0446 5.7254 -5.8470771 2.055036 8 162.13
"2002/2/4/12" 9.6 9.0248 12.7751 6.7455 10.9839 6.1977 8.6086 1.1188 3.4006 7.1470278 -5.510627 9 184.44
"2002/2/4/18" 9.8 6.9864 7.7848 11.2782 11.0811 9.0248 12.7751 6.7455 10.9839 -3.1674762 -6.227108 11 236.09
"2002/2/5/0" 4.7 5.5852 8.2258 8.1362 7.1020 6.9864 7.7848 11.2782 11.0811 4.7655846 -2.912673 12 259.73
"2002/2/5/6" 9.2 7.9898 8.0803 6.7039 8.1286 5.5852 8.2258 8.1362 7.1020 -6.6604853 4.413031 15 325.74
"2002/2/5/12" 4.6 7.9119 2.2200 7.7634 4.4573 7.9898 8.0803 6.7039 8.1286 -0.0949926 7.911330 16 339.28
"2002/2/5/18" 8.5 3.8551 11.3453 0.6312 7.1561 7.9119 2.2200 7.7634 4.4573 0.8408948 -3.762272 10 216.55
"2002/2/6/0" 10.0 10.3185 14.9799 8.2590 14.9881 3.8551 11.3453 0.6312 7.1561 -10.3162917 -0.213469 10 218.32
"2002/2/6/6" 12.5 12.5113 8.5214 13.3032 9.6515 10.3185 14.9799 8.2590 14.9881 -9.5196212 8.118463 11 225.33
"2002/2/6/12" 9.1 9.9446 12.2792 8.9263 9.1181 12.5113 8.5214 13.3032 9.6515 5.3847495 -8.360595 12 260.18
"2002/2/6/18" 15.3 12.6725 20.4918 10.3290 18.4140 9.9446 12.2792 8.9263 9.1181 -11.4193414 -5.494625 14 312.14
"2002/2/7/0" 12.2 10.2079 12.4780 13.4174 16.6393 12.6725 20.4918 10.3290 18.4140 -0.3299363 -10.202567 14 311.05
"2002/2/7/6" 6.8 8.6812 5.6881 6.3614 7.0586 10.2079 12.4780 13.4174 16.6393 -8.6743409 0.345027 11 237.23
"2002/2/7/12" 11.0 11.1349 10.7289 10.1816 6.7583 8.6812 5.6881 6.3614 7.0586 -1.1682923 11.073441 10 207.24
"2002/2/7/18" 10.7 12.5574 7.0797 10.6805 3.5974 11.1349 10.7289 10.1816 6.7583 -10.3595095 7.097102 13 275.49
"2002/2/8/0" 8.9 6.8682 12.0980 7.3155 8.1114 12.5574 7.0797 10.6805 3.5974 -5.9993100 -3.343718 14 312.08
"2002/2/8/6" 6.4 3.7324 6.6700 6.7543 8.3819 6.8682 12.0980 7.3155 8.1114 1.2620446 -3.512557 13 285.54
"2002/2/8/12" 6.7 2.2350 4.3496 1.9893 3.3015 3.7324 6.6700 6.7543 8.3819 2.2119814 -0.319942 9 190.21
"2002/2/8/18" 17.2 8.0831 12.4294 9.6681 9.7191 2.2350 4.3496 1.9893 3.3015 5.6264853 5.803376 7 139.00
"2002/2/9/0" 15.1 11.1398 12.9043 15.0428 10.9064 8.0831 12.4294 9.6681 9.7191 -6.9538382 8.702832 5 106.14
"2002/2/9/6" 14.5 10.1403 15.6854 8.5401 14.8877 11.1398 12.9043 15.0428 10.9064 -0.2925215 -10.136080 1 22.02
"2002/2/9/12" 21.2 17.7109 18.4189 14.1268 17.8374 10.1403 15.6854 8.5401 14.8877 10.6446227 -14.155140 1 8.78
"2002/2/9/18" 22.4 21.6015 16.4198 20.0127 18.6772 17.7109 18.4189 14.1268 17.8374 20.9701869 5.184213 16 359.47
"2002/2/10/0" 19.4 16.5527 8.1885 19.6165 10.6304 21.6015 16.4198 20.0127 18.6772 -16.4034360 -2.217919 16 343.87
"2002/2/10/6" 12.6 9.2818 7.6005 13.4160 7.4073 16.5527 8.1885 19.6165 10.6304 2.6294920 -8.901549 15 329.58
"2002/2/10/12" 8.6 9.0641 7.7103 12.2998 8.7586 9.2818 7.6005 13.4160 7.4073 -8.7622691 2.319601 16 337.98
"2002/2/10/18" 5.4 4.3804 3.2360 4.9655 1.6332 9.0641 7.7103 12.2998 8.7586 -3.5817562 -2.521691 11 242.86
"2002/2/11/0" 9.3 8.7842 10.2867 6.9816 5.6444 4.3804 3.2360 4.9655 1.6332 8.6386684 1.592350 10 221.30
"2002/2/11/6" 13.2 13.4403 10.9723 14.5854 11.4973 8.7842 10.2867 6.9816 5.6444 7.7581062 10.975129 11 226.81
"2002/2/11/18" 20.1 18.1817 22.6596 14.6242 19.1227 13.4403 10.9723 14.5854 11.4973 -1.3899812 18.128490 13 288.95
"2002/2/12/0" 22.3 15.5315 19.9253 19.7619 21.5796 18.1817 22.6596 14.6242 19.1227 3.3058270 -15.175605 14 304.52
"2002/2/12/6" 20.0 16.1955 15.9369 16.4178 13.0226 15.5315 19.9253 19.7619 21.5796 15.1151462 5.816062 13 290.23
"2002/2/12/12" 18.1 17.5315 14.1387 19.6433 15.6478 16.1955 15.9369 16.4178 13.0226 -0.7976287 -17.513346 14 304.78
"2002/2/12/18" 7.8 10.0389 5.7220 9.7687 6.0743 17.5315 14.1387 19.6433 15.6478 10.0229891 -0.564981 14 303.22
"2002/2/13/0" 3.9 8.5596 7.7645 7.9759 5.0985 10.0389 5.7220 9.7687 6.0743 7.0801985 -4.810150 15 322.61
"2002/2/13/6" 9.8 10.6490 11.0361 6.7523 9.3463 8.5596 7.7645 7.9759 5.0985 -0.6449089 10.629454 12 257.55
"2002/2/13/12" 12.6 9.8498 15.0156 9.7165 11.8032 10.6490 11.0361 6.7523 9.3463 -5.8041798 7.958018 13 275.83
"2002/2/13/18" 11.8 10.1047 8.9780 12.4484 8.9695 9.8498 15.0156 9.7165 11.8032 -8.6490151 -5.224892 11 242.93
"2002/2/14/0" 11.2 9.9602 10.4773 11.3181 10.9584 10.1047 8.9780 12.4484 8.9695 -9.8770426 1.284373 10 218.47
"2002/2/14/6" 11.8 12.1440 6.2759 13.6704 6.6615 9.9602 10.4773 11.3181 10.9584 2.6436503 -11.852757 11 235.40
"2002/2/14/12" 10.0 11.3239 8.7331 8.1011 3.2868 12.1440 6.2759 13.6704 6.6615 -9.1146452 -6.719669 14 305.67
"2002/2/14/18" 14.7 16.6676 10.5097 11.7190 8.3234 11.3239 8.7331 8.1011 3.2868 15.6207200 -5.813949 14 303.52
"2002/2/15/0" 15.0 13.4807 11.1306 12.4624 11.2706 16.6676 10.5097 11.7190 8.3234 -6.5295648 11.793814 15 326.22
"2002/2/15/6" 9.8 10.6674 9.6170 12.6728 8.0744 13.4807 11.1306 12.4624 11.2706 9.3261358 5.178476 14 308.94
"2002/2/15/12" 12.0 10.5015 12.6756 11.6602 11.1448 10.6674 9.6170 12.6728 8.0744 4.6948004 9.393634 13 289.49
"2002/2/15/18" 13.5 11.6881 10.9428 11.3983 9.2952 10.5015 12.6756 11.6602 11.1448 -8.1218338 -8.405207 13 280.37
"2002/2/16/0" 14.6 13.7721 15.9710 13.8338 13.7063 11.6881 10.9428 11.3983 9.2952 -7.1148966 11.791903 14 301.05
"2002/2/16/6" 12.4 12.5701 11.4812 13.5476 10.5556 13.7721 15.9710 13.8338 13.7063 -4.3068286 11.809261 14 294.96
"2002/2/16/12" 9.4 7.8288 8.7004 9.7498 9.4890 12.5701 11.4812 13.5476 10.5556 -7.2645803 2.918216 15 331.82
"2002/2/16/18" 7.2 3.0985 3.6344 4.8288 6.1376 7.8288 8.7004 9.7498 9.4890 -2.8213544 -1.280883 12 268.18
"2002/2/17/0" 3.4 3.2293 3.1749 6.0220 5.2331 3.0985 3.6344 4.8288 6.1376 -3.1803167 -0.560325 16 343.83
"2002/2/17/6" 5.9 8.1001 8.4215 3.4403 5.0962 3.2293 3.1749 6.0220 5.2331 3.1808126 7.449433 7 151.20
"2002/2/17/12" 11.3 12.7218 12.3028 7.5885 8.8883 8.1001 8.4215 3.4403 5.0962 12.5089793 2.317246 9 183.60
"2002/2/17/18" 13.8 11.0868 10.7751 15.2180 14.7349 12.7218 12.3028 7.5885 8.8883 -10.5055744 3.542604 9 187.25
"2002/2/18/0" 11.0 11.6472 6.1960 19.7971 14.5965 11.0868 10.7751 15.2180 14.7349 10.6371090 4.744384 9 195.93
