JobClass NW NE Score MaxSalary 
Laboratory_Aide 4 4 169 1258 
Laboratory_Assistant 10 15 205 1357 
Laboratory_Information_Clerk 9 14 244 1427 
Laboratory_Technician 14 16 251 1607 
Land_Survey_Technician 1 6 336 2940 
Land_Surveyor 0 1 424 3260 
Land_Surveyor_Senior 0 1 579 3776 
Laundry_Service_Operator 0 1 208 2001 
Laundry_Services_Supervisor 0 1 444 2374 
Law_Clerk 4 5 322 1815 
Legal_Secretary 27 27 272 1814 
Legal_Secretary_Senior 5 5 361 2001 
Legal_Services_Advisor 5 10 448 2555 
Legal_Services_Program_Coordinator 1 1 529 3106 
Librarian 30 37 391 2618 
Librarian_Associate 2 2 325 2261 
Librarian_Coordinating 4 5 548 3867 
Librarian_Principal 10 13 542 3341 
Librarian_Senior 12 13 461 3031 
Library_Assistant 4 6 197 1768 
Library_Audio-Visual_Services_Supervisor 0 1 508 3031 
Library_Director 0 1 759 6552 
Library_Director_Deputy 1 1 635 5336 
Library_Division_Manager 1 1 581 4700 
Library_Facilities_Superevisor 0 1 392 3181 
Management_Analyst_Principal 0 1 537 4060 
Management_Information_Specialist 2 7 333 2555 
Management_Information_Specialist_Principal 0 4 540 3424 
Management_Information_Specialist_Senior 1 3 438 3031 
Materials_Management_Supervisor 0 1 556 3031 
Medical_Center_Administrator 0 1 886 6149 
Medical_Center_Administrator_Deputy 0 1 841 5741 
Medical_Center_Administrator_SR._Associate 0 1 790 5467 
Medical_Center_Associate_Administrator 2 6 761 5208 
Medical_Center_Safety_and_Security_Director 0 1 601 2886 
Medical_Center_Social_Services_Director 0 1 538 3964 
Medical_Examiners_Investigative_Assistant 0 2 371 2051 
Medical_Examiners_Investigator 0 4 449 2542 
Medical_Examiners_Manager 1 1 617 3106 
Medical_Examiners_Technician 0 2 239 1860 
Medical_Payment_Adjuster 12 12 255 1493 
Medical_Records_Service_Manager 3 3 432 2374 
Medical_Records_Service_Manager_Senior 1 1 573 2618 
Medical_Records_Services_Director 1 1 654 3181 
Medical_Records_Technician 12 13 304 1729 
Medical_Secretary 19 19 189 1563 
Medical_Secretary_Senior 8 8 319 1729 
Medical_Technologist 35 41 398 2374 
Medical_Technologist_Supervisor 5 8 603 2886 
Medical_Technologist_Chief 0 1 748 3341 
Medical_Technologist_Senior 6 9 433 2618 
Medical_Technology_Educatin_Coordinator 1 1 615 2618 
Medical_Transcriber 12 12 226 1627 
Mental_Health_Division_Manager 1 1 736 4533 
Mental_Health_Unit_Supervisor 3 8 479 3633 
Unknown2 1 4 339 1604 
Mental_Retardation_Program_Manager 1 1 733 4533 
Microfilmer 5 8 167 1329 
Microfilmer_Senior 0 3 285 1880 
Nuclear_Midicine_Technologist 6 6 389 2493 
Nuclear_Midicine_Technologist_Chief 1 1 718 3260 
Nuclear_Midicine_Technologist_Senior 3 3 450 2748 
Nurse_Anesthetist 9 15 537 3424 
Nurse_Anesthetist_Chief 0 1 676 3776 
Nurse_Midwife 4 4 466 2958 
Nurse_Practitioner 9 9 563 2817 
Nurse_Head 24 26 466 2767 
Nurse_Institutional 4 6 407 2649 
Nurse_Licensed_Practical 11 13 300 1729 
Nurse_Public_Health 18 19 491 2475 
Nurse_Senior_Staff 9 10 433 2605 
Nurse_Staff 191 204 356 2475 
Nusring_Assistant 48 81 257 1361 
Nursing_Manager_Clinical 7 7 632 3341 
Nursing_Manager_Outpatient 1 1 601 3508 
Nursing_Program_Specialist 2 2 571 2817 
Nursing_Service_Assistant_Director 1 1 740 3684 
Nursing_Specialist_Clinical 8 9 473 3181 
Nursing_Supervisor 21 24 637 2916 
Nutritionist 1 1 436 2493 
Occupational_Therapist 3 3 402 2374 
Occupational_Therapist_Senior 1 1 460 2555 
Office_Services_Supervisor 3 3 363 2182 
Offset_Equipment_Operator 1 3 235 1586 
Offset_Equipment_Operator_Senior 1 2 259 1666 
Operating_Room_Supervisor 1 1 642 3181 
Optometrist 0 1 596 4476 
Painter 0 2 264 2654 
Paramedic 5 69 437 2256 
Parking_Attendent 0 1 179 1362 
Parole_Officer_Career 6 22 500 3343 
Parole_Officer_Senior 1 5 473 3180 
Parole_Services_Manager 0 1 538 4060 
Parole_Services_Supervisor 1 3 555 3716 
Pathologist_Assistant 0 1 376 2493 
Patient_Supply_Coordinator 0 1 431 2207 
Patient_counselor 10 11 249 1641 
Patient_counselor_Principal 17 19 404 2243 
Patient_counselor_Senior 25 35 341 2039 
Personnel_Assistant 2 2 341 2103 
Personnel_Director 0 1 875 5806 
Personnel_Director_Assistant 0 1 796 4818 
Personnel_Representative 5 6 374 2555 
Personnel_Representative_Senior 10 23 514 3424 
Personnel_Supervisor 0 9 679 4060 
Pharmacist 12 24 476 3169 
Pharmacist_Senior 1 5 542 3508 
Pharmacy_Services_Director 0 1 667 3867 
Pharmacy_Technician_Senior 1 1 320 1647 
Physical_Therapist 5 6 398 2374 
Physical_Therapist_Chief 1 1 674 3031 
Physician_Assistant 1 2 610 4985 
Physician_Associate 3 16 760 6680 
Physician_SR._Associate 0 1 809 8524 
Planner 2 7 425 3031 
Planner_Senior 12 28 543 3424 
Planning_and_Development_Director 0 1 802 5336 
Planning_Supervisor 0 5 672 4060 
Plumber 0 2 341 3129 
Probate_Division_Manager 0 1 642 3776 
Probate_Officer 3 5 457 2708 
Probation_Officer_Principal 37 97 521 3343 
Probation_Officer_Senior 2 7 478 3180 
Program_Analysis_Manager 0 2 728 4060 
Program_Analysis_Supervisor 1 4 547 3424 
Program_Analyst 4 7 404 2555 
Program_Analyst_Principal 0 2 493 3424 
Program_Analyst_Senior 5 10 423 3031 
Property_Description_Aide 3 7 225 1982 
Property_Description_Technician 0 9 299 2401 
Property_Description_Technician_Senior 0 4 395 2817 
Property_Development_Manager 0 1 819 5059 
Property_Identification_Supervisor 0 1 631 3031 
Property_Management_Specialist 2 2 335 2207 
Property_Records_Specialist 1 1 254 2011 
Property_Taxation_Project_Manager 0 1 521 3508 
Psychologist 1 5 505 3366 
Psychologist_Chief_Clinical 0 4 707 5080 
Psychologist_Chief_Court 0 1 668 4264 
Psychologist_unknown 3 8 515 3181 
Psychologist_Senior_Clinical 4 10 551 4476 
Psychiatrist 2 2 440 2475 
Public_Affairs_Assistant_Director 0 1 623 3684 
Public_Affairs_Director 0 1 792 4589 
Public_Defender 0 1 846 6179 
Public_Records_Supervisor 1 3 585 3181 
Public_Services_Unit_Supervisor 0 1 544 2555 
Purchasing_Manager 0 1 724 4370 
Records_and_Services_Centers_Director 0 1 837 5312 
Records_Manager 1 1 437 3424 
Recreational_Therapist 5 13 403 2458 
Registered_Property_Anayst 1 1 458 2886 
Respiratory_Therapist 6 16 347 1952 
Respiratory_Therapist_Chief 0 1 676 2886 
Respiratory_Therapist_Senior 2 2 462 2154 
Right_of_Way_Agent 1 3 371 3064 
Right_of_Way_Agent_Principal 0 1 692 4200 
Right_of_Way_Agent_Senior 0 1 490 3508 
Risk_Manager 0 1 708 3964 
Safety_Officer 0 1 485 2748 
Security_Guard 4 24 322 2100 
Security_Supervisor 0 3 419 2317 
Service_Center_Manager 1 1 614 3684 
Service_Center_Representative 15 20 208 1604 
Service_Center_Representative_Senior 10 11 259 1768 
Service_Center_Supervisor 3 4 482 2618 
Sheriff 0 1 914 6179 
Sheriff's_Captain 0 4 721 3692 
Sheriff's_Crime_Laboratory_Technician 0 11 454 2808 
Sheriff's_Detective 1 15 547 2974 
Sheriff's_Detention_Deputy 18 67 316 2458 
Sheriff's_Inspector 0 3 813 4060 
Sheriff's_Lieutenant 0 11 674 3349 
Sheriff's_Sergeant 2 33 501 3042 
Sheriff_Chief_Deputy 0 1 823 4476 
Sheriff_Deputy 25 244 380 2560 
Social_Services_Manager 0 1 716 5058 
Social_Work_Consultant_Medical 0 1 474 3481 
Social_Work_Unit_Supervisor 19 58 553 3633 
Social_Worker1 4 6 431 2595 
Social_Worker 40 66 509 3205 
Social_Worker_Principal 3 6 490 2886 
Social_Worker_Senior 144 261 442 3051 
Social_Worker_Psychiatric 9 21 525 3181 
Special_Programs_Councelor 10 22 322 1939 
Speech_Language_Pathologist 1 1 465 2618 
Speech_Language_Pathology_Director 1 1 583 2958 
Staff_Development_Coordinator 2 2 603 3181 
Staff_Development_Instructor 5 7 505 2767 
Staff_Development_Instructor_Senior 1 1 623 2891 
Station_Instructor 16 18 466 2649 
Statistical_Analyst 0 4 471 3031 
Statistical_Analyst_Senior 0 1 536 3424 
Stereoplotter_Operator 0 1 313 2493 
Stock_Clerk_Principal 3 19 143 1512 
Stock_Clerk_unknown 0 2 375 1907 
Stock_Clerk_Senior 1 5 254 1729 
Stockworker_Mechanical_Supervisor 1 1 436 2493 
Stockworker_Mechanical 0 4 245 1898 
Stockworker_Senior_Mechanical 0 2 297 2091 
Stores_Supervisor 0 2 444 2103 
Superintendent_of_ACF 0 1 773 4700 
Superintendent_of_JJC 0 1 773 4476 
Superintendent_Assistant_Institution 0 2 548 4060 
Supply_Aide 1 8 156 1306 
Supply_Aide_Senior 1 4 221 1363 
Surgical_Technician 6 9 310 1729 
Surveyor_County 0 1 719 4589 
Tax_Clerk 9 14 266 1795 
Tax_Clerk_Senior 3 7 294 1982 
Telecommunications_Supervisor 1 1 441 2182 
Telephone_Operator-Receptionist 29 32 200 1426 
Tour_Information_Guide 1 1 225 1362 
Traffic_Sign_Foreman 0 1 529 3181 
Traffic_Signal_Technician 0 3 319 3273 
Traffic_Signal_Technician_Senior 0 1 411 3792 
Traffic_Signworker 0 7 267 2184 
Training_and_Employment_Assistant_Director 0 1 626 4005 
Transcriber_Typist 16 16 161 1426 
Transportation_Director 0 1 824 5940 
Utility_Inspector_Chief 0 1 483 2817 
Utilization_Review_Coordinator 3 3 416 2154 
Venereal_Disease_Specialist 0 1 348 2475 
Veterans_Services_Representative 0 2 385 2255 
Veterans_Services_Director 0 1 586 3508 
Video_Display_Terminal_Operator 23 23 209 1457 
Video_Display_Terminal_Operator_Senior 1 1 265 1647 
Vocational_Counselor 5 7 448 2595 
Welder_Mechanic 0 2 326 2381 
Word_Processing_Specialist 16 16 262 1729 
X-Ray_Technician 27 32 302 1950 
X-Ray_Technician_Senior 4 4 400 2261 
X-Ray_Technician_Special_Procedures 1 3 352 2051 
X-Ray_Technologist 1 1 572 3031 
