Plot Tree Species Dbh Height
49 1 WL 279 150
49 2 SF 150 163
49 3 SF 107 143
50 1 WP 238 163
50 2 SF 191 187
51 3 WC 528 315
51 8 WP 550 290
52 1 WC 234 180
52 2 GF 477 310
52 3 GF 613 250
53 1 WC 377 242
53 2 DF 165 172
53 3 SF 110 150
54 1 GF 397 253
54 2 WC 804 320
54 3 SF 100 110
55 2 DF 998 420
55 4 WP 441 348
55 6 WC 456 325
56 1 WC 387 270
56 3 DF 502 370
56 4 GF 683 390
57 1 GF 422 328
57 2 WC 344 257
57 3 GF 185 202
57 5 HW 312 240
58 1 WC 543 305
59 1 GF 861 402
59 2 PP 769 400
59 3 WC 519 325
59 6 HW 176 180
59 7 HW 175 190
60 2 WC 400 211
60 3 WC 374 200
61 2 GF 104 165
61 3 WP 229 215
63 2 GF 250 235
63 3 WP 271 255
63 4 WP 118 175
64 4 WC 141 140
64 6 WC 157 175
64 7 WC 250 190
65 1 GF 197 165
65 4 GF 300 280
67 1 GF 191 145
67 5 GF 463 300
68 1 GF 780 420
68 2 WC 580 335
68 3 WC 289 205
69 1 WC 496 270
69 2 WC 528 285
69 3 WC 445 270
70 1 WC 158 170
70 2 GF 357 345
70 5 DF 253 275
71 1 WC 148 145
71 2 GF 305 235
71 3 WC 122 140
72 1 WC 382 235
72 2 GF 275 235
72 3 GF 146 235
73 1 WC 545 265
73 2 WP 221 210
73 4 WL 182 190
74 1 GF 322 230
74 2 GF 350 230
75 1 DF 502 300
75 2 WC 108 100
76 1 WC 144 100
76 2 WC 226 140
77 1 WC 405 180
78 1 WC 437 270
78 2 GF 644 420
78 3 WP 1030 480
79 1 DF 290 230
79 2 DF 525 270
80 1 GF 248 240
80 3 WC 466 250
80 5 DF 283 215
81 1 WC 153 130
81 2 GF 588 250
81 3 WC 595 230
82 1 GF 656 350
82 2 GF 105 95
82 3 GF 196 185
83 1 GF 441 300
83 2 GF 245 220
83 3 GF 248 210
84 1 GF 506 320
84 2 GF 453 300
84 3 GF 171 120
85 1 WC 690 400
85 2 DF 716 350
85 7 GF 415 280
86 1 WC 455 335
86 2 WC 725 355
87 1 WC 443 205
87 2 GF 155 145
87 3 GF 140 90
88 1 WC 473 300
88 2 WC 433 295
88 3 WL 708 425
89 1 GF 798 310
89 2 GF 220 180
90 1 DF 440 320
90 2 DF 558 260
90 3 DF 607 260
91 1 GF 121 105
91 2 GF 300 170
91 3 DF 476 255
92 1 WC 309 170
92 3 GF 330 290
92 5 DF 515 295
93 1 WC 508 285
94 1 WC 530 230
96 1 DF 430 185
97 1 GF 460 280
97 2 WC 594 333
97 3 GF 338 241
98 1 WC 201 161
98 6 DF 262 145
98 7 GF 108 148
99 1 WC 512 270
99 2 GF 435 264
99 3 WC 371 288
100 1 GF 421 324
100 2 DF 785 370
100 3 WC 101 90
101 1 DF 494 236
101 2 GF 607 300
101 3 DF 463 300
103 1 WC 654 355
103 2 GF 239 232
104 1 WC 284 193
104 4 DF 197 110
105 1 WC 282 205
105 2 WC 222 187
105 3 WC 119 115
106 1 GF 245 238
106 2 GF 314 270
106 3 WC 120 128
107 1 WC 159 125
107 2 WC 270 170
107 3 WC 277 205
108 1 DF 438 179
108 2 GF 397 195
109 1 GF 475 270
109 2 GF 498 245
110 2 WC 423 305
110 3 WC 488 245
110 4 GF 812 470
111 1 WC 450 280
111 2 GF 565 300
111 3 WC 530 235
112 1 GF 522 350
112 4 DF 343 255
112 6 WC 341 245
113 1 DF 239 210
113 2 SF 109 90
113 4 DF 413 260
114 1 WL 197 180
114 2 DF 150 165
114 3 DF 432 240
116 1 WL 268 220
118 1 WL 286 295
118 2 WL 302 295
119 2 WC 314 280
119 3 WC 266 190
120 1 WC 341 250
121 1 GF 330 170
121 3 DF 267 150
121 4 GF 234 200
122 1 GF 312 190
122 2 GF 352 245
122 3 GF 257 180
122 4 GF 163 90
123 1 GF 401 195
123 2 WC 176 165
124 1 GF 425 280
124 2 GF 314 230
124 3 DF 271 210
125 1 DF 400 210
125 3 DF 513 310
126 1 GF 284 230
126 2 GF 393 250
126 3 WC 337 170
128 1 WC 213 155
128 4 DF 201 160
128 7 PP 371 260
129 1 GF 454 250
129 2 WC 297 200
131 1 WC 228 120
131 2 GF 292 230
131 3 GF 383 240
132 2 GF 239 175
135 1 GF 189 160
135 2 GF 205 130
135 3 GF 210 185
136 1 WC 555 275
136 2 GF 164 130
136 3 DF 565 370
137 1 WC 373 205
138 1 WC 207 140
139 1 WC 446 285
139 3 WC 367 250
139 7 GF 445 270
141 1 DF 316 205
142 1 DF 283 240
142 3 DF 522 275
142 4 DF 225 205
143 1 GF 280 210
143 2 GF 330 205
143 7 WC 478 205
144 1 GF 102 160
144 2 DF 315 220
144 4 WL 265 250
