# createdOn: 2012-09-15 12:06:57 PDT
# nbrOfRows: 80
# nbrOfColumns: 3
# columnNames: id	comment	fullname
# columnClasses: character	character	character
# URL: http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE12702
id	comment	fullname
GSM318760	prostate tumor, patient 154 (Nsp)	Patient154,T,GSM318760
GSM318761	normal prostate, patient 154 (Nsp)	Patient154,N,GSM318761
GSM318762	prostate tumor, patient 167 (Nsp)	Patient167,T,GSM318762
GSM318763	normal prostate, patient 167 (Nsp)	Patient167,N,GSM318763
GSM318764	prostate tumor, patient 80 (Nsp)	Patient80,T,GSM318764
GSM318765	normal prostate, patient 80 (Nsp)	Patient80,N,GSM318765
GSM318766	prostate tumor, patient 96 (Nsp)	Patient96,T,GSM318766
GSM318767	normal prostate, patient 96 (Nsp)	Patient96,N,GSM318767
GSM318773	prostate tumor, patient 24 (Sty)	Patient24,T,GSM318773
GSM318774	normal prostate, patient 24 (Sty)	Patient24,N,GSM318774
GSM318775	prostate tumor, patient 25 (Sty)	Patient25,T,GSM318775
GSM318776	normal prostate, patient 25 (Sty)	Patient25,N,GSM318776
GSM318777	prostate tumor, patient 27 (Sty)	Patient27,T,GSM318777
GSM318778	normal prostate, patient 27 (Sty)	Patient27,N,GSM318778
GSM318779	prostate tumor, patient 31 (Sty)	Patient31,T,GSM318779
GSM318780	normal prostate, patient 31 (Sty)	Patient31,N,GSM318780
GSM318781	prostate tumor, patient 45 (Sty)	Patient45,T,GSM318781
GSM318782	normal prostate, patient 45 (Sty)	Patient45,N,GSM318782
GSM318783	prostate tumor, patient 52 (Sty)	Patient52,T,GSM318783
GSM318784	normal prostate, patient 52 (Sty)	Patient52,N,GSM318784
GSM318785	prostate tumor, patient 58 (Sty)	Patient58,T,GSM318785
GSM318786	normal prostate, patient 58 (Sty)	Patient58,N,GSM318786
GSM318787	prostate tumor, patient 60 (Sty)	Patient60,T,GSM318787
GSM318788	normal prostate, patient 60 (Sty)	Patient60,N,GSM318788
GSM318789	prostate tumor, patient 75 (Sty)	Patient75,T,GSM318789
GSM318790	normal prostate, patient 75 (Sty)	Patient75,N,GSM318790
GSM318791	prostate tumor, patient 110 (Sty)	Patient110,T,GSM318791
GSM318792	normal prostate, patient 110 (Sty)	Patient110,N,GSM318792
GSM318793	prostate tumor, patient 115 (Sty)	Patient115,T,GSM318793
GSM318794	normal prostate, patient 115 (Sty)	Patient115,N,GSM318794
GSM318795	prostate tumor, patient 122 (Sty)	Patient122,T,GSM318795
GSM318796	normal prostate, patient 122 (Sty)	Patient122,N,GSM318796
GSM318797	prostate tumor, patient 128 (Sty)	Patient128,T,GSM318797
GSM318798	normal prostate, patient 128 (Sty)	Patient128,N,GSM318798
GSM318799	prostate tumor, patient 137 (Sty)	Patient137,T,GSM318799
GSM318800	normal prostate, patient 137 (Sty)	Patient137,N,GSM318800
GSM318801	prostate tumor, patient 138 (Sty)	Patient138,T,GSM318801
GSM318802	normal prostate, patient 138 (Sty)	Patient138,N,GSM318802
GSM318803	prostate tumor, patient 140 (Sty)	Patient140,T,GSM318803
GSM318804	normal prostate, patient 140 (Sty)	Patient140,N,GSM318804
GSM318805	prostate tumor, patient 154 (Sty)	Patient154,T,GSM318805
GSM318806	normal prostate, patient 154 (Sty)	Patient154,N,GSM318806
GSM318807	prostate tumor, patient 167 (Sty)	Patient167,T,GSM318807
GSM318808	normal prostate, patient 167 (Sty)	Patient167,N,GSM318808
GSM318809	prostate tumor, patient 80 (Sty)	Patient80,T,GSM318809
GSM318810	normal prostate, patient 80 (Sty)	Patient80,N,GSM318810
GSM318811	prostate tumor, patient 96 (Sty)	Patient96,T,GSM318811
GSM318812	normal prostate, patient 96 (Sty)	Patient96,N,GSM318812
