chromosome	band	start	end	intensity	isCentromere
5	p15.3	0	9900000	5	FALSE
5	p15.2	9900000	15100000	3	FALSE
5	p15.1	15100000	18500000	5	FALSE
5	p14	18500000	29300000	1	FALSE
5	p13	29300000	42400000	5	FALSE
5	p12	42400000	45800000	3	FALSE
5	p11	45800000	47700000	6	TRUE
5	q11.1	47700000	50500000	6	TRUE
5	q11.2	50500000	58900000	5	FALSE
5	q12	58900000	66700000	2	FALSE
5	q13	66700000	76900000	5	FALSE
5	q14	76900000	91900000	3	FALSE
5	q15	91900000	97300000	5	FALSE
5	q21	97300000	109600000	1	FALSE
5	q22	109600000	115200000	5	FALSE
5	q23	115200000	132200000	3	FALSE
5	q31	132200000	144500000	5	FALSE
5	q32	144500000	149800000	2	FALSE
5	q33	149800000	159900000	5	FALSE
5	q34	159900000	168400000	1	FALSE
5	q35	168400000	180857866	5	FALSE
6	p25	0	7000000	5	FALSE
6	p24	7000000	13500000	3	FALSE
6	p23	13500000	15300000	5	FALSE
6	p22	15300000	30000000	2	FALSE
6	p21.3	30000000	36800000	5	FALSE
6	p21.2	36800000	40600000	4	FALSE
6	p21.1	40600000	46300000	5	FALSE
6	p12	46300000	57500000	1	FALSE
6	p11.2	57500000	58800000	5	FALSE
6	p11.1	58800000	60500000	6	TRUE
6	q11.1	60500000	63400000	6	TRUE
6	q12	63400000	70000000	1	FALSE
6	q13	70000000	75900000	5	FALSE
6	q14	75900000	87500000	3	FALSE
6	q15	87500000	92100000	5	FALSE
6	q16	92100000	105100000	1	FALSE
6	q21	105100000	114500000	5	FALSE
6	q22	114500000	130400000	2	FALSE
6	q23	130400000	139100000	5	FALSE
6	q24	139100000	149100000	2	FALSE
6	q25	149100000	161000000	5	FALSE
6	q26	161000000	164500000	3	FALSE
6	q27	164500000	170975699	5	FALSE
7	p22	0	7000000	5	FALSE
7	p21	7000000	20700000	1	FALSE
7	p15	20700000	30300000	5	FALSE
7	p14	30300000	43100000	2	FALSE
7	p13	43100000	47100000	5	FALSE
7	p12	47100000	53600000	2	FALSE
7	p11.2	53600000	56900000	5	FALSE
7	p11.1	56900000	58900000	6	TRUE
7	q11.1	58900000	61200000	6	TRUE
7	q11.2	61200000	77200000	5	FALSE
7	q21	77200000	97600000	1	FALSE
7	q22	97600000	106900000	5	FALSE
7	q31	106900000	125900000	2	FALSE
7	q32	125900000	132000000	5	FALSE
7	q33	132000000	137100000	3	FALSE
7	q34	137100000	143000000	5	FALSE
7	q35	143000000	147300000	2	FALSE
7	q36	147300000	158628139	5	FALSE
8	p23	0	12700000	5	FALSE
8	p22	12700000	19100000	1	FALSE
8	p21	19100000	28900000	5	FALSE
8	p12	28900000	38500000	2	FALSE
8	p11.2	38500000	43200000	5	FALSE
8	p11.1	43200000	45200000	6	TRUE
8	q11.1	45200000	48100000	6	TRUE
8	q11.2	48100000	55700000	5	FALSE
8	q12	55700000	66100000	3	FALSE
8	q13	66100000	74200000	5	FALSE
8	q21.1	74200000	84800000	1	FALSE
8	q21.2	84800000	87000000	5	FALSE
8	q21.3	87000000	93400000	1	FALSE
8	q22	93400000	106200000	5	FALSE
8	q23	106200000	117700000	2	FALSE
8	q24.1	117700000	127300000	5	FALSE
8	q24.2	127300000	140000000	3	FALSE
8	q24.3	140000000	146274826	5	FALSE
9	p24	0	9000000	5	FALSE
9	p23	9000000	14100000	2	FALSE
9	p22	14100000	19900000	5	FALSE
9	p21	19900000	33200000	1	FALSE
9	p13	33200000	41400000	5	FALSE
9	p12	41400000	44200000	3	FALSE
9	p11.1	44200000	50600000	5	TRUE
9	q11.1	50600000	59200000	6	TRUE
9	q12	59200000	67500000	7	FALSE
9	q13	67500000	68600000	5	FALSE
9	q21	68600000	87600000	4	FALSE
9	q22	87600000	99600000	5	FALSE
9	q31	99600000	112000000	1	FALSE
9	q32	112000000	114800000	5	FALSE
9	q33	114800000	127300000	2	FALSE
9	q34	127300000	138429268	5	FALSE
X	p22.3	0	9300000	5	FALSE
X	p22.2	9300000	17200000	3	FALSE
X	p22.1	17200000	24700000	5	FALSE
X	p21	24700000	37400000	1	FALSE
X	p11.4	37400000	42100000	5	FALSE
X	p11.3	42100000	47200000	2	FALSE
X	p11.2	47200000	56500000	5	FALSE
X	p11.1	56500000	59400000	6	TRUE
X	q11	59400000	64000000	6	TRUE
X	q12	64000000	67500000	5	FALSE
X	q13	67500000	75800000	5	FALSE
X	q21	75800000	98200000	1	FALSE
X	q22	98200000	108500000	5	FALSE
X	q23	108500000	116300000	2	FALSE
X	q24	116300000	120600000	5	FALSE
X	q25	120600000	129700000	1	FALSE
X	q26	129700000	137700000	5	FALSE
X	q27	137700000	146800000	2	FALSE
X	q28	146800000	154824264	5	FALSE
Y	p11.3	0	3300000	5	FALSE
Y	p11.2	3300000	11200000	5	FALSE
Y	p11.1	11200000	11500000	6	TRUE
Y	q11.1	11500000	12400000	6	TRUE
Y	q11.2	12400000	27100000	5	FALSE
Y	q12	27100000	57701691	10	FALSE
