,visit1_001,visit1_010,visit1_011,visit1_100,visit1_101,visit1_110,visit1_111,visit2_001,visit2_010,visit2_011,visit2_100,visit2_101,visit2_110,visit2_111,visit3_001,visit3_010,visit3_011,visit3_100,visit3_101,visit3_110,visit3_111,struct,woody,time.1,time.2,time.3,date.1,date.2,date.3
moran1_05,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.25,0.7,5.92,6.57,8.8,9,22,39
moran2_05,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12.85,0.55,6.43,6.07,8.23,9,22,39
peruc1_05,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10.75,0.5,8.9,6.97,8.83,10,13,44
peruc2_05,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4,9.37,6.52,9.78,10,30,44
peruc3_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0.2,9.78,6.05,9.33,10,30,44
peruce1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0.2,7.52,7.47,8.28,10,30,44
peruce2_05,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0.15,7.97,7.85,7.9,10,30,44
peruce3_05,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11.3,0.3,8.42,8.27,7.42,10,30,44
perunw1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,0.05,8.73,8.77,6.88,9,22,39
perunw2_05,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1,20.1,0.7,9.45,8.33,7.38,9,22,39
perus1_05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0.3,8.03,9.57,6.45,15,30,44
perus2_05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0.25,7.57,9.12,6.02,15,30,44
pfer1_05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0.4,5.67,7.65,7.98,8,18,33
pfer2_05,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.1,0.55,6.1,7.1,8.43,8,18,33
pfer3_05,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.9,0.8,6.55,6.58,8.93,8,18,33
pfer4_05,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.4,0.45,7.12,5.97,9.43,8,18,33
pol1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0.3,5.12,6.18,5.78,1,20,33
pol2_05,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.65,0.35,5.55,5.78,6.17,1,20,33
pol3_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0.3,6.05,5.33,6.58,1,20,33
pol4_05,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8.05,0.4,6.55,4.9,7.07,1,20,33
roar1_05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0.25,5.47,5.55,8.92,5,25,34
roar2_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0.05,5.93,6.05,8.47,5,25,34
roar3_05,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.95,0.1,6.5,6.62,8.07,5,25,34
roar4_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,7.12,7.13,7.55,5,25,34
roar5_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15,0.05,7.68,7.68,7.05,5,25,34
savtn1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05,0.25,7.02,8.08,8.2,11,29,38
savtn2_05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.55,0.7,6.53,8.55,7.65,11,29,36
savtn3_05,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.7,0.45,6.03,9.03,7.12,11,29,38
savw1_05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0.6,8.53,6.6,9.72,11,29,38
savw2_05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0.1,8.1,7.08,9.23,11,29,38
whis2_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0.05,8.13,6.05,6.15,19,31,40
whis3_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,0.5,7.42,6.65,6.83,19,31,40
whis4_05,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.05,0.35,6.68,7.23,7.38,19,31,40
winb2_05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0.2,6.07,7.63,9.42,10,22,39
winb3_05,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.6,0.55,6.57,7.23,9.9,10,22,39
winern1_05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4.7,0.35,9.42,5.55,5.67,23,32,47
winers1_05,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9.95,0.45,8.33,9.25,6.62,23,32,47
winers2_05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0.55,8.83,8.62,6.15,23,32,47
